동별,항목,단위,2019 년,2020 년,2021 년,2022 년,2023 년
거여1동,면수,면,5147.0,4380.0,5093.0,4289.0,4414.0
거여2동,면수,면,4910.0,4855.0,4890.0,11775.0,7743.0
마천1동,면수,면,5959.0,5577.0,5971.0,6255.0,5550.0
마천2동,면수,면,5800.0,5188.0,5754.0,5296.0,5816.0
방이1동,면수,면,7681.0,7681.0,7696.0,7152.0,7451.0
방이2동,면수,면,13271.0,12514.0,13325.0,14183.0,13756.0
오륜동,면수,면,13806.0,9410.0,13759.0,7021.0,9709.0
오금동,면수,면,17398.0,14325.0,17318.0,16772.0,14855.0
송파1동,면수,면,11863.0,10853.0,11862.0,11156.0,11730.0
송파2동,면수,면,8604.0,7800.0,8212.0,7959.0,8003.0
석촌동,면수,면,15106.0,14001.0,15249.0,14710.0,14272.0
삼전동,면수,면,13113.0,12079.0,13062.0,12320.0,12817.0
가락본동,면수,면,14368.0,15237.0,15406.0,14520.0,21349.0
가락1동,면수,면,20942.0,20268.0,20389.0,15237.0,11607.0
가락2동,면수,면,14340.0,12848.0,14134.0,12780.0,15150.0
문정1동,면수,면,10021.0,9582.0,9950.0,9330.0,9433.0
문정2동,면수,면,26958.0,13850.0,26971.0,28046.0,34558.0
잠실본동,면수,면,12998.0,12863.0,13749.0,13187.0,18621.0
잠실4동,면수,면,11793.0,11175.0,11708.0,9925.0,18071.0
잠실6동,면수,면,16929.0,14828.0,19476.0,16454.0,4268.0
잠실7동,면수,면,5011.0,3601.0,3806.0,1829.0,13094.0
잠실2동,면수,면,18914.0,16734.0,18914.0,23732.0,17608.0
잠실3동,면수,면,17356.0,17413.0,17339.0,19193.0,11750.0
장지동,면수,면,26885.0,18257.0,26472.0,27829.0,14939.0
위례동,면수,면,13608.0,28079.0,13602.0,7598.0,13450.0
강일동,면수,면,16806.0,18214.0,20968.0,0.0,0.0
상일동,면수,면,3293.0,9784.0,10851.0,0.0,0.0
명일1동,면수,면,7794.0,7860.0,7880.0,13614.0,13607.0
명일2동,면수,면,7406.0,7668.0,6511.0,6628.0,6711.0
고덕1동,면수,면,12422.0,12356.0,5925.0,11848.0,11895.0
고덕2동,면수,면,2478.0,3494.0,10658.0,11651.0,11777.0
암사2동,면수,면,6020.0,6005.0,5912.0,7056.0,7075.0
암사3동,면수,면,3911.0,3682.0,8278.0,8124.0,8240.0
천호1동,면수,면,10739.0,10893.0,10373.0,9974.0,10096.0
천호3동,면수,면,12268.0,12463.0,10261.0,11090.0,11343.0
성내1동,면수,면,11491.0,11530.0,8582.0,10876.0,11447.0
