년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20221,청운효자동,한식음식점,92,2,3,1
20221,청운효자동,중식음식점,3,0,0,0
20221,청운효자동,일식음식점,12,1,0,0
20221,청운효자동,양식음식점,46,0,1,0
20221,청운효자동,제과점,22,3,0,1
20221,청운효자동,패스트푸드점,7,1,0,2
20221,청운효자동,치킨전문점,1,0,0,0
20221,청운효자동,분식전문점,25,2,1,0
20221,청운효자동,호프-간이주점,11,0,0,1
20221,청운효자동,커피-음료,72,3,2,0
20221,청운효자동,일반교습학원,13,0,1,0
20221,청운효자동,외국어학원,3,0,0,0
20221,청운효자동,예술학원,13,0,0,0
20221,청운효자동,스포츠 강습,7,0,0,0
20221,청운효자동,일반의원,3,0,0,0
20221,청운효자동,치과의원,3,0,0,0
20221,청운효자동,한의원,1,0,0,0
20221,청운효자동,당구장,1,0,0,0
20221,청운효자동,골프연습장,1,0,0,0
20221,청운효자동,자동차수리,1,0,0,0
20221,청운효자동,자동차미용,3,0,0,0
20221,청운효자동,미용실,15,0,0,0
20221,청운효자동,네일숍,1,0,0,0
20221,청운효자동,피부관리실,5,2,0,0
20221,청운효자동,세탁소,2,0,0,3
20221,청운효자동,가전제품수리,5,0,0,0
20221,청운효자동,부동산중개업,41,0,2,0
20221,청운효자동,여관,2,0,0,0
20221,청운효자동,고시원,2,0,0,0
20221,청운효자동,노래방,2,0,0,0
20221,청운효자동,슈퍼마켓,26,1,0,0
20221,청운효자동,편의점,2,0,0,12
20221,청운효자동,컴퓨터및주변장치판매,2,0,0,0
20221,청운효자동,핸드폰,1,0,1,0
20221,청운효자동,미곡판매,4,0,0,0
20221,청운효자동,육류판매,10,0,0,0
20221,청운효자동,수산물판매,5,0,0,0
20221,청운효자동,청과상,7,0,1,0
20221,청운효자동,반찬가게,19,2,1,0
20221,청운효자동,일반의류,58,0,1,0
20221,청운효자동,신발,9,0,0,1
20221,청운효자동,가방,5,0,0,0
20221,청운효자동,안경,3,0,0,0
20221,청운효자동,시계및귀금속,4,0,0,0
20221,청운효자동,의약품,10,0,0,0
20221,청운효자동,의료기기,1,0,0,0
20221,청운효자동,서적,17,0,0,0
20221,청운효자동,문구,4,0,0,0
20221,청운효자동,화장품,13,0,0,0
20221,청운효자동,운동/경기용품,2,0,0,0
20221,청운효자동,완구,1,0,0,0
20221,청운효자동,섬유제품,6,0,1,0
20221,청운효자동,화초,13,0,0,0
20221,청운효자동,애완동물,3,0,0,0
20221,청운효자동,가구,1,0,0,0
20221,청운효자동,가전제품,3,0,0,0
20221,청운효자동,철물점,3,0,0,0
20221,청운효자동,인테리어,9,0,0,0
20221,청운효자동,조명용품,5,0,0,0
20221,청운효자동,전자상거래업,72,0,2,0
20221,사직동,한식음식점,385,8,7,29
20221,사직동,중식음식점,31,0,0,1
20221,사직동,일식음식점,52,2,1,8
20221,사직동,양식음식점,79,1,2,4
20221,사직동,제과점,28,1,0,4
20221,사직동,패스트푸드점,25,1,1,8
20221,사직동,치킨전문점,4,0,0,7
20221,사직동,분식전문점,90,2,2,7
20221,사직동,호프-간이주점,50,1,1,7
20221,사직동,커피-음료,126,5,5,46
20221,사직동,일반교습학원,27,0,0,0
20221,사직동,외국어학원,9,0,0,0
20221,사직동,예술학원,10,1,0,1
20221,사직동,스포츠 강습,17,0,0,1
20221,사직동,일반의원,39,1,1,0
20221,사직동,치과의원,24,0,1,0
20221,사직동,한의원,16,0,0,0
20221,사직동,당구장,15,1,0,0
20221,사직동,골프연습장,2,0,0,1
20221,사직동,PC방,1,0,0,0
20221,사직동,스포츠클럽,13,0,0,0
20221,사직동,자동차수리,4,0,1,1
20221,사직동,미용실,25,1,0,0
20221,사직동,네일숍,15,0,0,0
20221,사직동,피부관리실,20,1,0,3
20221,사직동,세탁소,14,0,2,1
20221,사직동,가전제품수리,1,0,0,0
20221,사직동,부동산중개업,109,0,1,0
20221,사직동,여관,9,0,1,0
20221,사직동,고시원,4,0,0,0
20221,사직동,노래방,11,0,0,0
20221,사직동,슈퍼마켓,51,1,1,2
20221,사직동,편의점,1,0,0,32
20221,사직동,컴퓨터및주변장치판매,27,0,0,0
20221,사직동,핸드폰,10,0,0,0
20221,사직동,미곡판매,8,0,0,0
20221,사직동,육류판매,3,0,0,0
20221,사직동,수산물판매,4,0,0,0
20221,사직동,청과상,6,0,0,0
20221,사직동,반찬가게,32,0,2,0
20221,사직동,일반의류,78,0,4,0
20221,사직동,신발,7,1,1,0
20221,사직동,가방,9,0,0,0
20221,사직동,안경,8,2,2,1
20221,사직동,시계및귀금속,59,0,1,0
20221,사직동,의약품,27,2,1,3
20221,사직동,의료기기,6,0,0,0
20221,사직동,서적,26,0,0,0
20221,사직동,문구,22,1,0,6
20221,사직동,화장품,53,1,0,5
20221,사직동,운동/경기용품,13,0,0,0
20221,사직동,자전거 및 기타운송장비,1,0,0,0
20221,사직동,완구,2,0,0,0
20221,사직동,섬유제품,4,0,1,0
20221,사직동,화초,35,1,0,0
20221,사직동,애완동물,3,0,0,0
20221,사직동,가구,3,0,0,0
20221,사직동,가전제품,5,0,0,0
20221,사직동,철물점,4,0,0,0
20221,사직동,인테리어,7,0,0,0
20221,사직동,조명용품,20,0,0,0
20221,사직동,전자상거래업,106,0,2,0
20221,삼청동,한식음식점,66,1,0,3
20221,삼청동,중식음식점,3,0,0,0
20221,삼청동,일식음식점,8,0,1,0
20221,삼청동,양식음식점,44,0,1,0
20221,삼청동,제과점,13,0,0,2
20221,삼청동,패스트푸드점,4,0,1,2
20221,삼청동,치킨전문점,0,0,0,1
20221,삼청동,분식전문점,20,1,0,5
20221,삼청동,호프-간이주점,5,0,0,3
20221,삼청동,커피-음료,66,3,3,12
20221,삼청동,일반교습학원,2,0,0,0
20221,삼청동,외국어학원,1,0,0,0
20221,삼청동,예술학원,2,0,0,0
20221,삼청동,스포츠 강습,2,1,0,0
20221,삼청동,일반의원,1,0,0,0
20221,삼청동,치과의원,3,0,0,0
20221,삼청동,한의원,3,0,0,0
20221,삼청동,당구장,2,0,0,0
20221,삼청동,스포츠클럽,2,0,0,0
20221,삼청동,미용실,2,0,0,0
20221,삼청동,피부관리실,3,1,1,0
20221,삼청동,세탁소,1,0,0,0
20221,삼청동,부동산중개업,15,0,0,0
20221,삼청동,여관,4,0,0,0
20221,삼청동,고시원,2,0,0,0
20221,삼청동,슈퍼마켓,20,0,1,0
20221,삼청동,편의점,0,0,0,6
20221,삼청동,컴퓨터및주변장치판매,2,0,0,0
20221,삼청동,미곡판매,2,0,0,0
20221,삼청동,육류판매,2,0,0,0
20221,삼청동,청과상,1,0,0,0
20221,삼청동,반찬가게,16,0,2,0
20221,삼청동,일반의류,75,0,0,0
20221,삼청동,신발,3,0,1,0
20221,삼청동,가방,12,0,0,0
20221,삼청동,시계및귀금속,11,0,0,0
20221,삼청동,의약품,5,1,0,0
20221,삼청동,의료기기,1,0,0,0
20221,삼청동,서적,3,0,0,0
20221,삼청동,문구,2,0,0,1
20221,삼청동,화장품,15,0,0,4
20221,삼청동,운동/경기용품,2,0,0,0
20221,삼청동,완구,2,0,0,0
20221,삼청동,섬유제품,5,0,0,0
20221,삼청동,화초,11,0,0,0
20221,삼청동,애완동물,1,0,0,0
20221,삼청동,가구,6,0,0,0
20221,삼청동,가전제품,1,0,0,0
20221,삼청동,철물점,1,0,0,0
20221,삼청동,인테리어,5,0,0,0
20221,삼청동,전자상거래업,14,0,0,0
20221,부암동,한식음식점,37,0,2,2
20221,부암동,중식음식점,4,0,0,0
20221,부암동,일식음식점,3,0,0,1
20221,부암동,양식음식점,13,1,0,0
20221,부암동,제과점,6,1,0,1
20221,부암동,패스트푸드점,9,0,0,2
20221,부암동,치킨전문점,2,0,0,1
20221,부암동,분식전문점,17,0,0,3
20221,부암동,호프-간이주점,5,0,0,0
20221,부암동,커피-음료,21,0,0,5
20221,부암동,일반교습학원,23,0,0,3
20221,부암동,외국어학원,3,2,0,0
20221,부암동,예술학원,8,0,0,0
20221,부암동,스포츠 강습,4,1,0,0
20221,부암동,일반의원,1,0,0,0
20221,부암동,치과의원,3,0,0,0
20221,부암동,한의원,2,0,0,0
20221,부암동,골프연습장,1,0,0,0
20221,부암동,스포츠클럽,1,0,0,0
20221,부암동,자동차수리,7,0,0,1
20221,부암동,자동차미용,2,0,0,0
20221,부암동,미용실,9,1,1,0
20221,부암동,피부관리실,1,0,0,0
20221,부암동,세탁소,6,0,0,2
20221,부암동,부동산중개업,28,0,0,0
20221,부암동,여관,2,0,0,0
20221,부암동,노래방,1,0,0,0
20221,부암동,슈퍼마켓,14,2,0,0
20221,부암동,편의점,0,1,1,11
20221,부암동,컴퓨터및주변장치판매,1,0,0,0
20221,부암동,핸드폰,1,0,0,0
20221,부암동,미곡판매,3,0,0,0
20221,부암동,수산물판매,1,0,0,0
20221,부암동,반찬가게,5,0,0,0
20221,부암동,일반의류,25,2,2,0
20221,부암동,가방,3,0,0,0
20221,부암동,시계및귀금속,1,0,0,0
20221,부암동,의약품,5,0,0,0
20221,부암동,의료기기,2,0,0,0
