년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20201,청운효자동,한식음식점,82,1,7,1
20201,청운효자동,중식음식점,4,0,0,0
20201,청운효자동,일식음식점,11,1,0,0
20201,청운효자동,양식음식점,39,2,1,0
20201,청운효자동,제과점,15,1,1,1
20201,청운효자동,패스트푸드점,9,0,0,2
20201,청운효자동,치킨전문점,1,0,0,1
20201,청운효자동,분식전문점,27,1,2,0
20201,청운효자동,호프-간이주점,8,0,1,0
20201,청운효자동,커피-음료,72,2,5,1
20201,청운효자동,일반교습학원,14,1,1,0
20201,청운효자동,외국어학원,2,0,0,0
20201,청운효자동,예술학원,13,0,0,0
20201,청운효자동,스포츠 강습,6,1,0,0
20201,청운효자동,일반의원,3,0,0,0
20201,청운효자동,치과의원,3,0,0,0
20201,청운효자동,한의원,1,0,0,0
20201,청운효자동,당구장,1,0,0,0
20201,청운효자동,골프연습장,1,0,0,0
20201,청운효자동,PC방,1,0,0,0
20201,청운효자동,자동차수리,1,0,0,0
20201,청운효자동,자동차미용,2,0,0,0
20201,청운효자동,미용실,13,2,1,0
20201,청운효자동,네일숍,1,0,0,0
20201,청운효자동,피부관리실,5,0,0,0
20201,청운효자동,세탁소,2,0,0,3
20201,청운효자동,가전제품수리,4,0,0,0
20201,청운효자동,부동산중개업,41,0,0,0
20201,청운효자동,여관,3,0,0,0
20201,청운효자동,고시원,3,0,0,0
20201,청운효자동,노래방,2,0,0,0
20201,청운효자동,슈퍼마켓,26,0,0,0
20201,청운효자동,편의점,2,0,0,11
20201,청운효자동,컴퓨터및주변장치판매,2,0,0,0
20201,청운효자동,핸드폰,2,0,0,0
20201,청운효자동,미곡판매,3,0,0,0
20201,청운효자동,육류판매,9,1,0,0
20201,청운효자동,수산물판매,5,0,0,0
20201,청운효자동,청과상,6,0,0,0
20201,청운효자동,반찬가게,13,1,1,0
20201,청운효자동,일반의류,57,4,2,0
20201,청운효자동,신발,10,0,0,1
20201,청운효자동,가방,2,0,0,0
20201,청운효자동,안경,2,0,0,1
20201,청운효자동,시계및귀금속,4,0,0,0
20201,청운효자동,의약품,11,0,0,0
20201,청운효자동,의료기기,1,0,0,0
20201,청운효자동,서적,12,1,0,0
20201,청운효자동,문구,5,0,0,0
20201,청운효자동,화장품,14,1,1,0
20201,청운효자동,운동/경기용품,1,0,0,0
20201,청운효자동,완구,1,0,0,0
20201,청운효자동,섬유제품,7,0,1,0
20201,청운효자동,화초,13,1,0,0
20201,청운효자동,애완동물,2,0,0,0
20201,청운효자동,가구,2,0,0,0
20201,청운효자동,가전제품,3,0,0,0
20201,청운효자동,철물점,2,0,0,0
20201,청운효자동,인테리어,7,0,1,0
20201,청운효자동,조명용품,5,0,0,0
20201,청운효자동,전자상거래업,39,1,3,0
20201,사직동,한식음식점,379,14,16,36
20201,사직동,중식음식점,28,1,2,1
20201,사직동,일식음식점,53,3,2,8
20201,사직동,양식음식점,74,3,4,6
20201,사직동,제과점,19,0,2,7
20201,사직동,패스트푸드점,23,1,0,8
20201,사직동,치킨전문점,4,0,0,7
20201,사직동,분식전문점,88,1,6,7
20201,사직동,호프-간이주점,62,0,1,7
20201,사직동,커피-음료,106,7,4,43
20201,사직동,일반교습학원,25,2,1,0
20201,사직동,외국어학원,9,0,0,0
20201,사직동,예술학원,8,1,0,1
20201,사직동,스포츠 강습,15,0,0,1
20201,사직동,일반의원,27,0,0,0
20201,사직동,치과의원,27,0,0,0
20201,사직동,한의원,19,0,0,0
20201,사직동,당구장,14,0,1,0
20201,사직동,골프연습장,0,0,0,1
20201,사직동,PC방,1,0,0,0
20201,사직동,스포츠클럽,9,1,0,0
20201,사직동,자동차수리,5,0,0,1
20201,사직동,자동차미용,1,0,0,0
20201,사직동,미용실,25,1,3,0
20201,사직동,네일숍,11,0,0,0
20201,사직동,피부관리실,15,0,1,3
20201,사직동,세탁소,12,0,1,1
20201,사직동,가전제품수리,1,0,0,0
20201,사직동,부동산중개업,104,1,1,0
20201,사직동,여관,9,0,1,0
20201,사직동,고시원,4,0,0,0
20201,사직동,노래방,14,1,0,0
20201,사직동,슈퍼마켓,52,0,2,2
20201,사직동,편의점,2,0,0,28
20201,사직동,컴퓨터및주변장치판매,29,0,0,0
20201,사직동,핸드폰,12,0,0,0
20201,사직동,미곡판매,9,0,0,0
20201,사직동,육류판매,4,0,0,0
20201,사직동,수산물판매,4,0,0,0
20201,사직동,청과상,6,0,0,0
20201,사직동,반찬가게,29,1,1,0
20201,사직동,일반의류,75,1,1,0
20201,사직동,신발,5,0,0,0
20201,사직동,가방,10,0,0,0
20201,사직동,안경,8,0,0,1
20201,사직동,시계및귀금속,58,3,0,0
20201,사직동,의약품,23,2,0,1
20201,사직동,의료기기,6,0,0,0
20201,사직동,서적,28,1,1,0
20201,사직동,문구,21,1,4,7
20201,사직동,화장품,54,1,3,20
20201,사직동,운동/경기용품,10,0,0,0
20201,사직동,완구,2,0,0,0
20201,사직동,섬유제품,5,0,0,0
20201,사직동,화초,38,0,0,0
20201,사직동,애완동물,2,0,0,0
20201,사직동,가구,3,1,1,0
20201,사직동,가전제품,4,0,0,0
20201,사직동,철물점,5,0,0,0
20201,사직동,인테리어,9,0,0,0
20201,사직동,조명용품,22,0,1,0
20201,사직동,전자상거래업,65,5,2,0
20201,삼청동,한식음식점,75,0,3,3
20201,삼청동,중식음식점,3,0,0,0
20201,삼청동,일식음식점,6,0,0,0
20201,삼청동,양식음식점,44,3,2,2
20201,삼청동,제과점,12,1,0,2
20201,삼청동,패스트푸드점,4,0,0,3
20201,삼청동,치킨전문점,1,0,0,0
20201,삼청동,분식전문점,25,3,2,4
20201,삼청동,호프-간이주점,4,0,0,2
20201,삼청동,커피-음료,65,1,2,12
20201,삼청동,외국어학원,1,0,0,0
20201,삼청동,예술학원,2,0,0,0
20201,삼청동,스포츠 강습,1,0,0,0
20201,삼청동,일반의원,1,0,0,0
20201,삼청동,치과의원,3,0,0,0
20201,삼청동,한의원,3,0,0,0
20201,삼청동,당구장,2,0,0,0
20201,삼청동,스포츠클럽,1,0,0,0
20201,삼청동,피부관리실,1,0,0,0
20201,삼청동,세탁소,1,0,0,0
20201,삼청동,부동산중개업,13,1,0,0
20201,삼청동,여관,3,0,0,0
20201,삼청동,고시원,2,0,0,0
20201,삼청동,슈퍼마켓,24,0,0,0
20201,삼청동,편의점,0,0,0,8
20201,삼청동,컴퓨터및주변장치판매,2,0,0,0
20201,삼청동,미곡판매,2,0,0,0
20201,삼청동,육류판매,2,0,0,0
20201,삼청동,청과상,1,0,0,0
20201,삼청동,반찬가게,16,1,0,0
20201,삼청동,일반의류,70,0,2,0
20201,삼청동,신발,6,1,0,0
20201,삼청동,가방,13,1,0,0
20201,삼청동,시계및귀금속,10,0,1,0
20201,삼청동,의약품,4,0,0,0
20201,삼청동,서적,2,0,0,0
20201,삼청동,문구,2,0,0,1
20201,삼청동,화장품,15,0,1,6
