년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20211,청운효자동,한식음식점,86,4,3,1
20211,청운효자동,중식음식점,4,0,0,0
20211,청운효자동,일식음식점,11,0,0,0
20211,청운효자동,양식음식점,46,1,0,0
20211,청운효자동,제과점,17,1,0,1
20211,청운효자동,패스트푸드점,6,0,1,3
20211,청운효자동,치킨전문점,1,0,0,0
20211,청운효자동,분식전문점,25,1,1,0
20211,청운효자동,호프-간이주점,9,0,1,0
20211,청운효자동,커피-음료,72,6,0,1
20211,청운효자동,일반교습학원,14,2,1,0
20211,청운효자동,외국어학원,2,0,0,0
20211,청운효자동,예술학원,12,0,0,0
20211,청운효자동,스포츠 강습,6,0,0,0
20211,청운효자동,일반의원,3,0,0,0
20211,청운효자동,치과의원,3,0,0,0
20211,청운효자동,한의원,1,0,0,0
20211,청운효자동,당구장,1,0,0,0
20211,청운효자동,골프연습장,1,0,0,0
20211,청운효자동,PC방,1,0,0,0
20211,청운효자동,자동차수리,1,0,0,0
20211,청운효자동,자동차미용,3,0,0,0
20211,청운효자동,미용실,15,1,0,0
20211,청운효자동,네일숍,1,0,0,0
20211,청운효자동,피부관리실,3,0,0,0
20211,청운효자동,세탁소,2,1,1,3
20211,청운효자동,가전제품수리,5,1,0,0
20211,청운효자동,부동산중개업,42,3,1,0
20211,청운효자동,여관,3,0,0,0
20211,청운효자동,고시원,2,0,0,0
20211,청운효자동,노래방,2,0,0,0
20211,청운효자동,슈퍼마켓,26,0,0,0
20211,청운효자동,편의점,2,0,0,10
20211,청운효자동,컴퓨터및주변장치판매,2,0,0,0
20211,청운효자동,핸드폰,2,0,0,0
20211,청운효자동,미곡판매,4,0,0,0
20211,청운효자동,육류판매,9,0,0,0
20211,청운효자동,수산물판매,5,0,0,0
20211,청운효자동,청과상,8,2,0,0
20211,청운효자동,반찬가게,15,0,1,0
20211,청운효자동,일반의류,52,3,0,0
20211,청운효자동,신발,9,0,0,1
20211,청운효자동,가방,4,1,0,0
20211,청운효자동,안경,3,0,0,0
20211,청운효자동,시계및귀금속,3,0,1,0
20211,청운효자동,의약품,10,0,1,0
20211,청운효자동,의료기기,1,0,0,0
20211,청운효자동,서적,14,0,2,0
20211,청운효자동,문구,4,0,1,0
20211,청운효자동,화장품,14,0,0,0
20211,청운효자동,운동/경기용품,2,1,0,0
20211,청운효자동,완구,1,0,0,0
20211,청운효자동,섬유제품,8,1,0,0
20211,청운효자동,화초,13,1,0,0
20211,청운효자동,애완동물,3,1,0,0
