지하철역,구,동,총승하차인원,년분기
4.19민주묘지,강북구,우이동,121940,20204
4.19민주묘지,강북구,우이동,148118,20204
4.19민주묘지,강북구,우이동,150294,20204
4.19민주묘지,강북구,우이동,126887,20203
4.19민주묘지,강북구,우이동,125015,20203
4.19민주묘지,강북구,우이동,151714,20203
4.19민주묘지,강북구,우이동,143816,20202
4.19민주묘지,강북구,우이동,143551,20202
4.19민주묘지,강북구,우이동,126844,20202
4.19민주묘지,강북구,우이동,114168,20201
4.19민주묘지,강북구,우이동,127686,20201
4.19민주묘지,강북구,우이동,153413,20201
가능,0,0,283817,20204
가능,0,0,330665,20204
가능,0,0,340043,20204
가능,0,0,301538,20203
가능,0,0,302724,20203
가능,0,0,354827,20203
가능,0,0,345097,20202
가능,0,0,333809,20202
가능,0,0,288349,20202
가능,0,0,281774,20201
가능,0,0,321002,20201
가능,0,0,380365,20201
가락시장,송파구,가락1동,385638,20204
가락시장,송파구,가락1동,385638,20204
가락시장,송파구,가락1동,376027,20204
가락시장,송파구,가락1동,376027,20204
가락시장,송파구,가락1동,472377,20204
가락시장,송파구,가락1동,472377,20204
가락시장,송파구,가락1동,436530,20204
가락시장,송파구,가락1동,436530,20204
가락시장,송파구,가락1동,457296,20204
가락시장,송파구,가락1동,457296,20204
가락시장,송파구,가락1동,425931,20204
가락시장,송파구,가락1동,425931,20204
가락시장,송파구,가락1동,409758,20203
가락시장,송파구,가락1동,409758,20203
가락시장,송파구,가락1동,389642,20203
가락시장,송파구,가락1동,389642,20203
가락시장,송파구,가락1동,415697,20203
가락시장,송파구,가락1동,415697,20203
가락시장,송파구,가락1동,376701,20203
가락시장,송파구,가락1동,376701,20203
가락시장,송파구,가락1동,506951,20203
가락시장,송파구,가락1동,506951,20203
가락시장,송파구,가락1동,454949,20203
가락시장,송파구,가락1동,454949,20203
가락시장,송파구,가락1동,477250,20202
가락시장,송파구,가락1동,477250,20202
가락시장,송파구,가락1동,429529,20202
가락시장,송파구,가락1동,429529,20202
가락시장,송파구,가락1동,451654,20202
가락시장,송파구,가락1동,451654,20202
가락시장,송파구,가락1동,415945,20202
가락시장,송파구,가락1동,415945,20202
가락시장,송파구,가락1동,403278,20202
가락시장,송파구,가락1동,403278,20202
가락시장,송파구,가락1동,386771,20202
가락시장,송파구,가락1동,386771,20202
가락시장,송파구,가락1동,372159,20201
가락시장,송파구,가락1동,372159,20201
가락시장,송파구,가락1동,363729,20201
가락시장,송파구,가락1동,363729,20201
가락시장,송파구,가락1동,450247,20201
가락시장,송파구,가락1동,450247,20201
가락시장,송파구,가락1동,414055,20201
가락시장,송파구,가락1동,414055,20201
가락시장,송파구,가락1동,570552,20201
가락시장,송파구,가락1동,570552,20201
가락시장,송파구,가락1동,514066,20201
가락시장,송파구,가락1동,514066,20201
가산디지털단지,금천구,가산동,1964995,20204
가산디지털단지,금천구,가산동,1964995,20204
가산디지털단지,금천구,가산동,794476,20204
가산디지털단지,금천구,가산동,794476,20204
가산디지털단지,금천구,가산동,2228725,20204
가산디지털단지,금천구,가산동,2228725,20204
가산디지털단지,금천구,가산동,937173,20204
가산디지털단지,금천구,가산동,937173,20204
가산디지털단지,금천구,가산동,2089827,20204
가산디지털단지,금천구,가산동,2089827,20204
가산디지털단지,금천구,가산동,895912,20204
가산디지털단지,금천구,가산동,895912,20204
가산디지털단지,금천구,가산동,1937707,20203
가산디지털단지,금천구,가산동,1937707,20203
가산디지털단지,금천구,가산동,809796,20203
가산디지털단지,금천구,가산동,809796,20203
가산디지털단지,금천구,가산동,1930560,20203
가산디지털단지,금천구,가산동,1930560,20203
가산디지털단지,금천구,가산동,804150,20203
가산디지털단지,금천구,가산동,804150,20203
가산디지털단지,금천구,가산동,2342454,20203
가산디지털단지,금천구,가산동,2342454,20203
가산디지털단지,금천구,가산동,988508,20203
가산디지털단지,금천구,가산동,988508,20203
가산디지털단지,금천구,가산동,2241035,20202
가산디지털단지,금천구,가산동,2241035,20202
가산디지털단지,금천구,가산동,953331,20202
가산디지털단지,금천구,가산동,953331,20202
가산디지털단지,금천구,가산동,2037701,20202
가산디지털단지,금천구,가산동,2037701,20202
가산디지털단지,금천구,가산동,879357,20202
가산디지털단지,금천구,가산동,879357,20202
가산디지털단지,금천구,가산동,1960048,20202
가산디지털단지,금천구,가산동,1960048,20202
가산디지털단지,금천구,가산동,832374,20202
가산디지털단지,금천구,가산동,832374,20202
가산디지털단지,금천구,가산동,1868532,20201
가산디지털단지,금천구,가산동,1868532,20201
가산디지털단지,금천구,가산동,785801,20201
가산디지털단지,금천구,가산동,785801,20201
가산디지털단지,금천구,가산동,2091743,20201
가산디지털단지,금천구,가산동,2091743,20201
가산디지털단지,금천구,가산동,911017,20201
가산디지털단지,금천구,가산동,911017,20201
가산디지털단지,금천구,가산동,2306723,20201
가산디지털단지,금천구,가산동,2306723,20201
가산디지털단지,금천구,가산동,1037523,20201
가산디지털단지,금천구,가산동,1037523,20201
가양,강서구,등촌3동,859777,20204
가양,강서구,등촌3동,1027611,20204
가양,강서구,등촌3동,1003510,20204
가양,강서구,등촌3동,878903,20203
가양,강서구,등촌3동,941151,20203
가양,강서구,등촌3동,1099040,20203
가양,강서구,등촌3동,1036657,20202
가양,강서구,등촌3동,986925,20202
가양,강서구,등촌3동,898488,20202
가양,강서구,등촌3동,859013,20201
가양,강서구,등촌3동,1005590,20201
가양,강서구,등촌3동,1175949,20201
가오리,강북구,수유2동,176992,20204
가오리,강북구,수유2동,203223,20204
가오리,강북구,수유2동,201060,20204
가오리,강북구,수유2동,178830,20203
가오리,강북구,수유2동,181633,20203
가오리,강북구,수유2동,215267,20203
가오리,강북구,수유2동,204002,20202
가오리,강북구,수유2동,194835,20202
가오리,강북구,수유2동,177572,20202
가오리,강북구,수유2동,166928,20201
가오리,강북구,수유2동,192535,20201
가오리,강북구,수유2동,231311,20201
가좌,서대문구,남가좌1동,217201,20204
가좌,서대문구,남가좌1동,267439,20204
가좌,서대문구,남가좌1동,264000,20204
가좌,서대문구,남가좌1동,226995,20203
가좌,서대문구,남가좌1동,237151,20203
가좌,서대문구,남가좌1동,282579,20203
가좌,서대문구,남가좌1동,266183,20202
가좌,서대문구,남가좌1동,254675,20202
가좌,서대문구,남가좌1동,224352,20202
가좌,서대문구,남가좌1동,204563,20201
가좌,서대문구,남가좌1동,240786,20201
가좌,서대문구,남가좌1동,297169,20201
가천대,0,0,369914,20204
가천대,0,0,446606,20204
가천대,0,0,455281,20204
가천대,0,0,322371,20203
가천대,0,0,308210,20203
가천대,0,0,419521,20203
가천대,0,0,376795,20202
가천대,0,0,394520,20202
가천대,0,0,318331,20202
가천대,0,0,282161,20201
가천대,0,0,342997,20201
가천대,0,0,423482,20201
가평,0,0,59929,20204
가평,0,0,91250,20204
가평,0,0,122046,20204
가평,0,0,78517,20203
가평,0,0,112374,20203
가평,0,0,149370,20203
가평,0,0,102820,20202
가평,0,0,100964,20202
가평,0,0,78254,20202
가평,0,0,58843,20201
가평,0,0,83823,20201
가평,0,0,113937,20201
간석,0,0,245036,20204
간석,0,0,293743,20204
간석,0,0,295162,20204
간석,0,0,257425,20203
간석,0,0,267059,20203
간석,0,0,317159,20203
간석,0,0,294560,20202
간석,0,0,285851,20202
간석,0,0,260259,20202
간석,0,0,243038,20201
간석,0,0,291908,20201
간석,0,0,359623,20201
갈매,0,0,121128,20204
갈매,0,0,144245,20204
갈매,0,0,143429,20204
갈매,0,0,122920,20203
갈매,0,0,123239,20203
갈매,0,0,150235,20203
갈매,0,0,140617,20202
갈매,0,0,133676,20202
갈매,0,0,121767,20202
갈매,0,0,114485,20201
갈매,0,0,124750,20201
갈매,0,0,142516,20201
강남,강남구,역삼1동,3167883,20204
강남,서초구,서초2동,3167883,20204
강남,강남구,역삼1동,4340319,20204
강남,서초구,서초2동,4340319,20204
강남,강남구,역삼1동,4193290,20204
