행정동,시군구,총_승객수,연분기
도봉2동,도봉구,18424,20242
독산1동,금천구,8129,20242
동화동,중구,7605,20242
둔촌1동,강동구,10111,20242
둔촌2동,강동구,11023,20242
등촌1동,강서구,7325,20242
등촌3동,강서구,21588,20242
마장동,성동구,5826,20242
마천1동,송파구,7389,20242
망우본동,중랑구,3403,20242
면목3.8동,중랑구,15987,20242
면목4동,중랑구,5880,20242
면목본동,중랑구,15171,20242
명동,중구,80322,20242
명일1동,강동구,8893,20242
명일2동,강동구,10421,20242
목1동,양천구,36847,20242
목2동,양천구,21505,20242
목3동,양천구,11662,20242
묵2동,중랑구,10268,20242
문래동,영등포구,21262,20242
문정2동,송파구,29008,20242
미아동,강북구,15544,20242
반포1동,서초구,10256,20242
반포2동,서초구,4311,20242
반포4동,서초구,86094,20242
반포본동,서초구,1241,20242
발산1동,강서구,14496,20242
방배1동,서초구,13763,20242
방배2동,서초구,1476,20242
방배3동,서초구,16640,20242
방이1동,송파구,7246,20242
방이2동,송파구,5535,20242
방학1동,도봉구,5814,20242
방화1동,강서구,12783,20242
방화2동,강서구,34180,20242
번1동,강북구,33554,20242
보라매동,관악구,3005,20242
보문동,성북구,8766,20242
불광1동,은평구,2762,20242
사근동,성동구,15153,20242
사당2동,동작구,39759,20242
사당4동,동작구,11363,20242
사직동,종로구,56947,20242
삼선동,성북구,39038,20242
삼성1동,강남구,38181,20242
삼성2동,강남구,20103,20242
삼양동,강북구,6078,20242
상계1동,노원구,12414,20242
상계2동,노원구,53571,20242
상계3.4동,노원구,9607,20242
상계5동,노원구,19248,20242
상계8동,노원구,12730,20242
상도1동,동작구,26963,20242
상도2동,동작구,9028,20242
상봉1동,중랑구,3535,20242
상봉2동,중랑구,20468,20242
상암동,마포구,23859,20242
서강동,마포구,19568,20242
서교동,마포구,141668,20242
서림동,관악구,6713,20242
서빙고동,용산구,1334,20242
서원동,관악구,55946,20242
서초1동,서초구,44527,20242
서초2동,서초구,81081,20242
서초3동,서초구,49385,20242
석관동,성북구,17597,20242
석촌동,송파구,14993,20242
성내1동,강동구,9952,20242
성내2동,강동구,51823,20242
성산2동,마포구,22024,20242
성수1가1동,성동구,8621,20242
성수1가2동,성동구,24806,20242
성수2가3동,성동구,41357,20242
소공동,중구,49435,20242
송천동,강북구,26358,20242
송파1동,송파구,9782,20242
수궁동,구로구,13573,20242
수색동,은평구,1382,20242
수서동,강남구,28391,20242
수유1동,강북구,1892,20242
수유2동,강북구,2340,20242
숭인2동,종로구,19897,20242
시흥1동,금천구,5937,20242
신길1동,영등포구,10455,20242
신길6동,영등포구,11007,20242
신길7동,영등포구,9842,20242
신내1동,중랑구,8582,20242
신당동,중구,23320,20242
신대방2동,동작구,5497,20242
신도림동,구로구,52772,20242
신림동,관악구,707,20242
신사1동,은평구,17512,20242
신사2동,은평구,12877,20242
신사동,관악구,25173,20242
신정3동,양천구,10031,20242
신정4동,양천구,12925,20242
신정7동,양천구,6687,20242
신촌동,서대문구,38763,20242
아현동,마포구,17435,20242
안암동,성북구,13124,20242
암사2동,강동구,18094,20242
압구정동,강남구,42287,20242
약수동,중구,18491,20242
양재1동,서초구,37576,20242
양재2동,서초구,6232,20242
양평1동,영등포구,7141,20242
양평2동,영등포구,8246,20242
여의동,영등포구,94424,20242
역삼1동,강남구,89400,20242
영등포동,영등포구,11252,20242
영등포본동,영등포구,20335,20242
오금동,송파구,9868,20242
오류1동,구로구,6331,20242
오류2동,구로구,11095,20242
오륜동,송파구,17735,20242
옥수동,성동구,9009,20242
왕십리2동,성동구,14089,20242
용강동,마포구,13795,20242
용답동,성동구,35421,20242
용산2가동,용산구,5505,20242
용신동,동대문구,38078,20242
우이동,강북구,5741,20242
우장산동,강서구,21664,20242
월계2동,노원구,4630,20242
월계3동,노원구,5718,20242
월곡2동,성북구,18760,20242
을지로동,중구,54058,20242
응봉동,성동구,998,20242
이문1동,동대문구,6623,20242
이문2동,동대문구,5737,20242
이태원1동,용산구,12236,20242
이화동,종로구,35468,20242
인헌동,관악구,27296,20242
일원본동,강남구,10284,20242
자양4동,광진구,13196,20242
잠실2동,송파구,23981,20242
잠실4동,송파구,21261,20242
잠실6동,송파구,97658,20242
잠실7동,송파구,21739,20242
잠실본동,송파구,7696,20242
잠원동,서초구,5085,20242
장위2동,성북구,9985,20242
장지동,송파구,16609,20242
장충동,중구,11498,20242
전농1동,동대문구,32693,20242
정릉1동,성북구,3364,20242
정릉4동,성북구,4626,20242
제기동,동대문구,9068,20242
종로1.2.3.4가동,종로구,116644,20242
종로5.6가동,종로구,56085,20242
중계2.3동,노원구,14519,20242
중곡3동,광진구,10562,20242
중화2동,중랑구,13617,20242
증산동,은평구,9851,20242
진관동,은평구,21362,20242
창1동,도봉구,31649,20242
창5동,도봉구,26279,20242
창신3동,종로구,3503,20242
천연동,서대문구,7900,20242
천호1동,강동구,9645,20242
청룡동,관악구,68945,20242
충현동,서대문구,32217,20242
필동,중구,30016,20242
하계2동,노원구,17877,20242
한강로동,용산구,67128,20242
한남동,용산구,11793,20242
행당1동,성동구,30148,20242
행당2동,성동구,7884,20242
홍제1동,서대문구,22636,20242
화곡1동,강서구,55298,20242
화양동,광진구,51391,20242
회현동,중구,110155,20242
효창동,용산구,9347,20242
휘경1동,동대문구,18516,20242
흑석동,동작구,9794,20242
가락본동,송파구,0,20241
가리봉동,구로구,0,20241
가양2동,강서구,0,20241
가양3동,강서구,0,20241
가회동,종로구,0,20241
개봉2동,구로구,0,20241
개봉3동,구로구,0,20241
개포1동,강남구,0,20241
개포3동,강남구,0,20241
개포4동,강남구,0,20241
거여2동,송파구,0,20241
고덕1동,강동구,0,20241
고덕2동,강동구,0,20241
고척1동,구로구,0,20241
고척2동,구로구,0,20241
교남동,종로구,0,20241
구로1동,구로구,0,20241
구로4동,구로구,0,20241
구산동,은평구,0,20241
군자동,광진구,0,20241
금호2.3가동,성동구,0,20241
길음2동,성북구,0,20241
낙성대동,관악구,0,20241
난곡동,관악구,0,20241
난향동,관악구,0,20241
남가좌2동,서대문구,0,20241
노량진2동,동작구,0,20241
다산동,중구,0,20241
답십리1동,동대문구,0,20241
답십리2동,동대문구,0,20241
대림1동,영등포구,0,20241
대림2동,영등포구,0,20241
대치1동,강남구,0,20241
도림동,영등포구,0,20241
도봉1동,도봉구,0,20241
도화동,마포구,0,20241
독산2동,금천구,0,20241
독산3동,금천구,0,20241
독산4동,금천구,0,20241
돈암1동,성북구,0,20241
돈암2동,성북구,0,20241
동선동,성북구,0,20241
등촌2동,강서구,0,20241
마천2동,송파구,0,20241
망우3동,중랑구,0,20241
망원1동,마포구,0,20241
망원2동,마포구,0,20241
면목2동,중랑구,0,20241
면목5동,중랑구,0,20241
면목7동,중랑구,0,20241
목4동,양천구,0,20241
목5동,양천구,0,20241
무악동,종로구,0,20241
묵1동,중랑구,0,20241
문정1동,송파구,0,20241
미성동,관악구,0,20241
반포3동,서초구,0,20241
방배4동,서초구,0,20241
방배본동,서초구,0,20241
방학2동,도봉구,0,20241
방학3동,도봉구,0,20241
번2동,강북구,0,20241
번3동,강북구,0,20241
보광동,용산구,0,20241
부암동,종로구,0,20241
북가좌1동,서대문구,0,20241
북가좌2동,서대문구,0,20241
북아현동,서대문구,0,20241
불광2동,은평구,0,20241
사당1동,동작구,0,20241
사당3동,동작구,0,20241
사당5동,동작구,0,20241
삼각산동,강북구,0,20241
삼성동,관악구,0,20241
삼전동,송파구,0,20241
삼청동,종로구,0,20241
상계10동,노원구,0,20241
상계6.7동,노원구,0,20241
상계9동,노원구,0,20241
상도3동,동작구,0,20241
상도4동,동작구,0,20241
상일1동,강동구,0,20241
상일2동,강동구,0,20241
서초4동,서초구,0,20241
성내3동,강동구,0,20241
성북동,성북구,0,20241
성산1동,마포구,0,20241
성수2가1동,성동구,0,20241
성현동,관악구,0,20241
세곡동,강남구,0,20241
송정동,성동구,0,20241
송중동,강북구,0,20241
송파2동,송파구,0,20241
수유3동,강북구,0,20241
숭인1동,종로구,0,20241
시흥2동,금천구,0,20241
시흥3동,금천구,0,20241
시흥4동,금천구,0,20241
시흥5동,금천구,0,20241
신길3동,영등포구,0,20241
신길4동,영등포구,0,20241
신길5동,영등포구,0,20241
신내2동,중랑구,0,20241
신당5동,중구,0,20241
신대방1동,동작구,0,20241
신사동,강남구,0,20241
신수동,마포구,0,20241
신원동,관악구,0,20241
신월1동,양천구,0,20241
신월2동,양천구,0,20241
신월3동,양천구,0,20241
신월4동,양천구,0,20241
신월5동,양천구,0,20241
신월6동,양천구,0,20241
신월7동,양천구,0,20241
신정1동,양천구,0,20241
신정2동,양천구,0,20241
신정6동,양천구,0,20241
쌍문1동,도봉구,0,20241
쌍문2동,도봉구,0,20241
쌍문3동,도봉구,0,20241
쌍문4동,도봉구,0,20241
암사1동,강동구,0,20241
암사3동,강동구,0,20241
역삼2동,강남구,0,20241
역촌동,은평구,0,20241
연남동,마포구,0,20241
연희동,서대문구,0,20241
염리동,마포구,0,20241
염창동,강서구,0,20241
왕십리도선동,성동구,0,20241
용문동,용산구,0,20241
원효로1동,용산구,0,20241
원효로2동,용산구,0,20241
월계1동,노원구,0,20241
월곡1동,성북구,0,20241
위례동,송파구,0,20241
은천동,관악구,0,20241
응암1동,은평구,0,20241
응암2동,은평구,0,20241
응암3동,은평구,0,20241
이촌1동,용산구,0,20241
이촌2동,용산구,0,20241
이태원2동,용산구,0,20241
인수동,강북구,0,20241
일원1동,강남구,0,20241
자양1동,광진구,0,20241
자양2동,광진구,0,20241
자양3동,광진구,0,20241
잠실3동,송파구,0,20241
장안1동,동대문구,0,20241
장안2동,동대문구,0,20241
장위1동,성북구,0,20241
장위3동,성북구,0,20241
전농2동,동대문구,0,20241
정릉2동,성북구,0,20241
정릉3동,성북구,0,20241
조원동,관악구,0,20241
종암동,성북구,0,20241
중계1동,노원구,0,20241
중계4동,노원구,0,20241
중계본동,노원구,0,20241
중곡1동,광진구,0,20241
중곡2동,광진구,0,20241
중곡4동,광진구,0,20241
중림동,중구,0,20241
중앙동,관악구,0,20241
중화1동,중랑구,0,20241
창2동,도봉구,0,20241
창3동,도봉구,0,20241
창4동,도봉구,0,20241
창신1동,종로구,0,20241
창신2동,종로구,0,20241
천호2동,강동구,0,20241
천호3동,강동구,0,20241
청구동,중구,0,20241
청담동,강남구,0,20241
청량리동,동대문구,0,20241
청림동,관악구,0,20241
청운효자동,종로구,0,20241
청파동,용산구,0,20241
평창동,종로구,0,20241
풍납1동,송파구,0,20241
풍납2동,송파구,0,20241
하계1동,노원구,0,20241
합정동,마포구,0,20241
항동,구로구,0,20241
행운동,관악구,0,20241
혜화동,종로구,0,20241
홍은1동,서대문구,0,20241
홍은2동,서대문구,0,20241
홍제2동,서대문구,0,20241
홍제3동,서대문구,0,20241
화곡2동,강서구,0,20241
화곡3동,강서구,0,20241
화곡4동,강서구,0,20241
화곡6동,강서구,0,20241
화곡8동,강서구,0,20241
화곡본동,강서구,0,20241
황학동,중구,0,20241
회기동,동대문구,0,20241
후암동,용산구,0,20241
휘경2동,동대문구,0,20241
가락본동,송파구,0,20242
가리봉동,구로구,0,20242
가양2동,강서구,0,20242
가양3동,강서구,0,20242
가회동,종로구,0,20242
개봉2동,구로구,0,20242
개봉3동,구로구,0,20242
개포1동,강남구,0,20242
개포3동,강남구,0,20242
개포4동,강남구,0,20242
거여2동,송파구,0,20242
고덕1동,강동구,0,20242
고덕2동,강동구,0,20242
고척1동,구로구,0,20242
고척2동,구로구,0,20242
교남동,종로구,0,20242
구로1동,구로구,0,20242
구로4동,구로구,0,20242
구산동,은평구,0,20242
군자동,광진구,0,20242
금호2.3가동,성동구,0,20242
길음2동,성북구,0,20242
낙성대동,관악구,0,20242
난곡동,관악구,0,20242
난향동,관악구,0,20242
남가좌2동,서대문구,0,20242
노량진2동,동작구,0,20242
다산동,중구,0,20242
답십리1동,동대문구,0,20242
답십리2동,동대문구,0,20242
대림1동,영등포구,0,20242
대림2동,영등포구,0,20242
대치1동,강남구,0,20242
도림동,영등포구,0,20242
도봉1동,도봉구,0,20242
도화동,마포구,0,20242
독산2동,금천구,0,20242
독산3동,금천구,0,20242
독산4동,금천구,0,20242
돈암1동,성북구,0,20242
돈암2동,성북구,0,20242
동선동,성북구,0,20242
등촌2동,강서구,0,20242
마천2동,송파구,0,20242
망우3동,중랑구,0,20242
망원1동,마포구,0,20242
망원2동,마포구,0,20242
면목2동,중랑구,0,20242
면목5동,중랑구,0,20242
면목7동,중랑구,0,20242
목4동,양천구,0,20242
목5동,양천구,0,20242
무악동,종로구,0,20242
묵1동,중랑구,0,20242
문정1동,송파구,0,20242
미성동,관악구,0,20242
반포3동,서초구,0,20242
방배4동,서초구,0,20242
방배본동,서초구,0,20242
방학2동,도봉구,0,20242
방학3동,도봉구,0,20242
번2동,강북구,0,20242
번3동,강북구,0,20242
보광동,용산구,0,20242
부암동,종로구,0,20242
북가좌1동,서대문구,0,20242
북가좌2동,서대문구,0,20242
북아현동,서대문구,0,20242
불광2동,은평구,0,20242
사당1동,동작구,0,20242
사당3동,동작구,0,20242
사당5동,동작구,0,20242
삼각산동,강북구,0,20242
삼성동,관악구,0,20242
삼전동,송파구,0,20242
삼청동,종로구,0,20242
상계10동,노원구,0,20242
상계6.7동,노원구,0,20242
상계9동,노원구,0,20242
상도3동,동작구,0,20242
상도4동,동작구,0,20242
상일1동,강동구,0,20242
상일2동,강동구,0,20242
서초4동,서초구,0,20242
성내3동,강동구,0,20242
성북동,성북구,0,20242
성산1동,마포구,0,20242
성수2가1동,성동구,0,20242
성현동,관악구,0,20242
세곡동,강남구,0,20242
송정동,성동구,0,20242
송중동,강북구,0,20242
송파2동,송파구,0,20242
수유3동,강북구,0,20242
숭인1동,종로구,0,20242
시흥2동,금천구,0,20242
시흥3동,금천구,0,20242
시흥4동,금천구,0,20242
시흥5동,금천구,0,20242
신길3동,영등포구,0,20242
신길4동,영등포구,0,20242
신길5동,영등포구,0,20242
신내2동,중랑구,0,20242
신당5동,중구,0,20242
신대방1동,동작구,0,20242
신사동,강남구,0,20242
신수동,마포구,0,20242
신원동,관악구,0,20242
신월1동,양천구,0,20242
신월2동,양천구,0,20242
신월3동,양천구,0,20242
신월4동,양천구,0,20242
신월5동,양천구,0,20242
신월6동,양천구,0,20242
신월7동,양천구,0,20242
신정1동,양천구,0,20242
신정2동,양천구,0,20242
신정6동,양천구,0,20242
쌍문1동,도봉구,0,20242
쌍문2동,도봉구,0,20242
쌍문3동,도봉구,0,20242
쌍문4동,도봉구,0,20242
암사1동,강동구,0,20242
암사3동,강동구,0,20242
역삼2동,강남구,0,20242
역촌동,은평구,0,20242
연남동,마포구,0,20242
연희동,서대문구,0,20242
염리동,마포구,0,20242
염창동,강서구,0,20242
왕십리도선동,성동구,0,20242
용문동,용산구,0,20242
원효로1동,용산구,0,20242
원효로2동,용산구,0,20242
월계1동,노원구,0,20242
월곡1동,성북구,0,20242
위례동,송파구,0,20242
은천동,관악구,0,20242
응암1동,은평구,0,20242
응암2동,은평구,0,20242
응암3동,은평구,0,20242
이촌1동,용산구,0,20242
이촌2동,용산구,0,20242
이태원2동,용산구,0,20242
인수동,강북구,0,20242
일원1동,강남구,0,20242
자양1동,광진구,0,20242
자양2동,광진구,0,20242
자양3동,광진구,0,20242
잠실3동,송파구,0,20242
장안1동,동대문구,0,20242
장안2동,동대문구,0,20242
장위1동,성북구,0,20242
장위3동,성북구,0,20242
전농2동,동대문구,0,20242
정릉2동,성북구,0,20242
정릉3동,성북구,0,20242
조원동,관악구,0,20242
종암동,성북구,0,20242
중계1동,노원구,0,20242
중계4동,노원구,0,20242
중계본동,노원구,0,20242
중곡1동,광진구,0,20242
중곡2동,광진구,0,20242
중곡4동,광진구,0,20242
중림동,중구,0,20242
중앙동,관악구,0,20242
중화1동,중랑구,0,20242
창2동,도봉구,0,20242
창3동,도봉구,0,20242
창4동,도봉구,0,20242
창신1동,종로구,0,20242
창신2동,종로구,0,20242
천호2동,강동구,0,20242
천호3동,강동구,0,20242
청구동,중구,0,20242
청담동,강남구,0,20242
청량리동,동대문구,0,20242
청림동,관악구,0,20242
청운효자동,종로구,0,20242
청파동,용산구,0,20242
평창동,종로구,0,20242
풍납1동,송파구,0,20242
풍납2동,송파구,0,20242
하계1동,노원구,0,20242
합정동,마포구,0,20242
항동,구로구,0,20242
행운동,관악구,0,20242
혜화동,종로구,0,20242
홍은1동,서대문구,0,20242
홍은2동,서대문구,0,20242
홍제2동,서대문구,0,20242
홍제3동,서대문구,0,20242
화곡2동,강서구,0,20242
화곡3동,강서구,0,20242
화곡4동,강서구,0,20242
화곡6동,강서구,0,20242
화곡8동,강서구,0,20242
화곡본동,강서구,0,20242
황학동,중구,0,20242
회기동,동대문구,0,20242
후암동,용산구,0,20242
휘경2동,동대문구,0,20242
