지하철역,구,동,총승하차인원,년분기
4.19민주묘지,강북구,우이동,184362,20194
4.19민주묘지,강북구,우이동,211195,20194
4.19민주묘지,강북구,우이동,221738,20194
4.19민주묘지,강북구,우이동,202508,20193
4.19민주묘지,강북구,우이동,159408,20193
4.19민주묘지,강북구,우이동,166073,20193
4.19민주묘지,강북구,우이동,189242,20192
4.19민주묘지,강북구,우이동,237865,20192
4.19민주묘지,강북구,우이동,227724,20192
4.19민주묘지,강북구,우이동,222755,20191
4.19민주묘지,강북구,우이동,134739,20191
4.19민주묘지,강북구,우이동,153416,20191
가능,0,0,418176,20194
가능,0,0,425672,20194
가능,0,0,452488,20194
가능,0,0,416399,20193
가능,0,0,421131,20193
가능,0,0,438369,20193
가능,0,0,438369,20193
가능,0,0,438369,20193
가능,0,0,432877,20192
가능,0,0,466217,20192
가능,0,0,447803,20192
가능,0,0,441626,20191
가능,0,0,360415,20191
가능,0,0,408269,20191
가락시장,송파구,가락1동,640427,20194
가락시장,송파구,가락1동,640427,20194
가락시장,송파구,가락1동,571192,20194
가락시장,송파구,가락1동,571192,20194
가락시장,송파구,가락1동,619451,20194
가락시장,송파구,가락1동,619451,20194
가락시장,송파구,가락1동,542342,20194
가락시장,송파구,가락1동,542342,20194
가락시장,송파구,가락1동,621146,20194
가락시장,송파구,가락1동,621146,20194
가락시장,송파구,가락1동,533091,20194
가락시장,송파구,가락1동,533091,20194
가락시장,송파구,가락1동,557077,20193
가락시장,송파구,가락1동,557077,20193
가락시장,송파구,가락1동,478286,20193
가락시장,송파구,가락1동,478286,20193
가락시장,송파구,가락1동,567700,20193
가락시장,송파구,가락1동,567700,20193
가락시장,송파구,가락1동,480110,20193
가락시장,송파구,가락1동,480110,20193
가락시장,송파구,가락1동,603054,20193
가락시장,송파구,가락1동,603054,20193
가락시장,송파구,가락1동,511338,20193
가락시장,송파구,가락1동,511338,20193
가락시장,송파구,가락1동,575952,20192
가락시장,송파구,가락1동,575952,20192
가락시장,송파구,가락1동,488163,20192
가락시장,송파구,가락1동,488163,20192
가락시장,송파구,가락1동,624646,20192
가락시장,송파구,가락1동,624646,20192
가락시장,송파구,가락1동,527709,20192
가락시장,송파구,가락1동,527709,20192
가락시장,송파구,가락1동,623397,20192
가락시장,송파구,가락1동,623397,20192
가락시장,송파구,가락1동,533698,20192
가락시장,송파구,가락1동,533698,20192
가락시장,송파구,가락1동,610797,20191
가락시장,송파구,가락1동,610797,20191
가락시장,송파구,가락1동,532823,20191
가락시장,송파구,가락1동,532823,20191
