구의1동,23274,23191,23126,23063,23156,23006,22863,22700,22474,22430,22251,22139,23481,23872,24023,24049,24096,24075,23929,23833,23815,23739
구의2동,28093,28140,28032,27902,27772,27620,27543,27444,27139,27091,27107,27008,26891,26796,26688,26573,26403,26410,26329,26230,26240,26115
구의3동,30418,30289,30179,30094,29915,29813,29654,29588,29304,29145,28969,28891,28756,28684,28532,28440,28404,28281,28095,28072,28062,28039
군자동,22113,22084,22142,22109,22174,22007,21864,21903,21696,21775,21583,21500,21341,21448,21266,21524,21410,21530,21592,21465,21461,21454
금호1가동,16132,16045,15974,15954,15885,15927,15897,15795,15718,15600,15442,15315,15196,15164,15085,15137,15065,15024,14943,14841,14796,14807
금호2·3가동,24361,24369,24299,24171,24029,23929,23737,23584,23356,23047,22932,22909,22801,22633,22583,22423,22337,22219,22124,22130,22029,21996
금호4가동,15376,15346,15283,15227,15041,15016,14958,14842,14723,14572,14517,14452,14419,14376,14278,14228,14351,14405,14329,14284,14231,14237
길동,46839,46835,46720,46367,46063,46950,46997,46868,46481,46338,46047,45973,45863,45662,45420,45374,45225,45142,44976,45042,45072,45121
길음1동,37535,37307,37263,37082,36971,36781,36663,36568,35927,35827,35744,35615,35128,35067,35061,35000,34896,34957,34909,34903,34807,35359
길음2동,13917,16272,16545,16620,17226,17293,17297,17167,16758,16747,16742,16780,20779,21514,21617,21728,21822,22003,21925,21802,21526,21523
낙성대동,17919,17806,17736,17623,17669,17840,17858,17579,17495,17477,17516,17434,17606,17827,17938,17928,17990,18063,18054,17863,17982,17994
난곡동,29390,29314,29173,28912,28735,28414,28165,28054,27800,27577,27412,27216,27104,26967,26833,26679,26411,26255,26037,25807,25656,25597
난향동,16671,16541,16436,16394,16209,16171,16082,15915,15664,15579,15491,15420,15332,15288,15180,15050,14997,14991,14908,14859,14799,14811
남가좌1동,17092,17122,17029,16918,16576,16371,16234,16141,15861,15828,15735,15627,15610,15573,16596,16884,16968,16966,16954,16927,16912,16929
남가좌2동,25783,25869,25729,25947,30061,30727,30851,30996,30658,30779,30696,30807,30758,30795,30729,30508,30589,30497,30444,30385,30341,30374
남영동,8508,8472,8521,8412,8395,8268,8190,8116,8049,7886,7832,7825,7811,7699,7540,7552,7552,7465,7385,7347,7301,7334
남현동,19091,19107,19032,18980,18962,18814,18680,18598,18358,18360,18390,18274,18259,18268,18237,18163,18135,18025,17998,17888,17962,17855
내곡동,18554,18549,18545,18481,18500,18387,18304,18146,17984,17889,17780,17622,17479,17566,17503,17455,17365,17400,17332,17254,17171,17052
노량진1동,32634,32606,32603,32563,32572,32649,32667,32387,32233,32158,32411,32298,32215,32278,32074,32114,32335,32573,32764,32715,32846,33440
노량진2동,14234,14110,13954,13789,13749,13650,13506,13512,13476,13381,12561,11550,11380,11314,11214,11234,11265,11228,11198,11075,10603,9653
녹번동,37460,38005,38158,38411,38439,38145,37901,37815,37556,37249,37164,37164,37109,37103,36886,36884,36747,36715,36563,36511,36407,36263
논현1동,23985,23776,23810,23792,23944,23916,23803,23734,23427,23272,23065,22702,22583,22658,22296,22080,22023,21954,21836,21759,21616,21536
논현2동,22204,22079,22002,21904,21858,21851,22033,21997,21891,21668,21519,21331,21300,21158,20891,20814,20811,21003,20855,20774,20747,20654
능동,11882,11887,11867,11978,11991,12046,11923,11913,11728,11725,11661,11619,11602,11645,11601,11561,11522,11564,11515,11496,11502,11477
다산동,15135,15074,15075,15035,15028,14956,14882,14725,14607,14425,14350,14274,14193,14185,14022,13954,13926,13886,13809,13786,13698,13625
답십리1동,29604,29907,29939,29783,29643,29643,29574,29511,29452,29511,29446,29373,29336,29280,28912,28530,28476,28434,28391,28284,28229,28148
답십리2동,30313,30446,30439,30486,30393,30108,29801,29486,29100,29000,28792,28595,28376,28254,28146,28055,27955,27918,27883,27854,27713,27661
