"동별","종사자규모별","항목","단위","2019 년","2020 년","2021 년","2022 년",
"사직동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","5591","4257","6209","4696",
"사직동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","8","8","5","9",
"사직동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","6113","5291","3515","6068",
"사직동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","7","11","11","9",
"사직동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","13926","19367","21824","19540",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","732","999","956","970",
"삼청동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","327","428","423","436",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","4601","4854","4978","5118",
"삼청동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","2271","2506","2482","2454",
"삼청동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","2330","2348","2496","2664",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","560","846","773","769",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1110","1352","1223","1240",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","108","91","113","120",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","658","585","712","741",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","38","33","48","53",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","484","439","656","675",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","17","19","12","18",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","524","507","357","533",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","7","7","6","7",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","473","536","483","506",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","2","3","2",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","118","214","317","223",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"삼청동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","1","1","1",
"삼청동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1234","1221","1230","1200",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","599","893","894","908",
"부암동","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","255","407","416","427",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","3454","3779","3762","4140",
"부암동","남","사업체현황(종사자규모별/동별)(2015년 이후)","","1764","1741","1665","2050",
"부암동","여","사업체현황(종사자규모별/동별)(2015년 이후)","","1690","2038","2097","2090",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","476","784","783","809",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","806","1168","1162","1145",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","72","66","63","60",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","453","405","386","394",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","29","21","25","17",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","373","260","316","206",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","13","16","18","16",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","369","469","541","445",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","7","4","3","4",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","471","269","187","250",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","1","1","-",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","146","193","191","-",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","-","-","-",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","-","-","-",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1","-","1","2",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","836","-","979","1700",
"부암동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","","1","-","-",
"부암동","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","","1015","-","-",
"평창동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","761","1307","1321","1286",
