사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
202012,우이신설선,4.19민주묘지,38101,24248,37715,21876,20210103,우이신설선,강북구,우이동,강북구_우이동,121940,12,4분기
202011,우이신설선,4.19민주묘지,47094,28318,46851,25855,20201203,우이신설선,강북구,우이동,강북구_우이동,148118,11,4분기
202010,우이신설선,4.19민주묘지,45957,31491,44921,27925,20201103,우이신설선,강북구,우이동,강북구_우이동,150294,10,4분기
202009,우이신설선,4.19민주묘지,37894,27137,37524,24332,20201003,우이신설선,강북구,우이동,강북구_우이동,126887,9,3분기
202008,우이신설선,4.19민주묘지,38134,25599,37443,23839,20200903,우이신설선,강북구,우이동,강북구_우이동,125015,8,3분기
202007,우이신설선,4.19민주묘지,46501,31358,45351,28504,20200803,우이신설선,강북구,우이동,강북구_우이동,151714,7,3분기
202006,우이신설선,4.19민주묘지,44084,29534,43335,26863,20200703,우이신설선,강북구,우이동,강북구_우이동,143816,6,2분기
202005,우이신설선,4.19민주묘지,42705,30811,41923,28112,20200603,우이신설선,강북구,우이동,강북구_우이동,143551,5,2분기
202004,우이신설선,4.19민주묘지,39048,26386,37343,24067,20200503,우이신설선,강북구,우이동,강북구_우이동,126844,4,2분기
202003,우이신설선,4.19민주묘지,36273,22435,34979,20481,20200403,우이신설선,강북구,우이동,강북구_우이동,114168,3,1분기
202002,우이신설선,4.19민주묘지,39903,25455,38727,23601,20200303,우이신설선,강북구,우이동,강북구_우이동,127686,2,1분기
202001,우이신설선,4.19민주묘지,48479,30790,45553,28591,20200203,우이신설선,강북구,우이동,강북구_우이동,153413,1,1분기
202012,경원선,가능,105409,38437,102096,37875,20210103,0,0,0,0,283817,12,4분기
202011,경원선,가능,124021,44959,117330,44355,20201203,0,0,0,0,330665,11,4분기
202010,경원선,가능,126311,47886,118468,47378,20201103,0,0,0,0,340043,10,4분기
202009,경원선,가능,110725,42804,105744,42265,20201003,0,0,0,0,301538,9,3분기
202008,경원선,가능,112259,42355,106356,41754,20200903,0,0,0,0,302724,8,3분기
202007,경원선,가능,133578,48542,124978,47729,20200803,0,0,0,0,354827,7,3분기
202006,경원선,가능,129295,47710,121195,46897,20200703,0,0,0,0,345097,6,2분기
202005,경원선,가능,121800,48982,114776,48251,20200603,0,0,0,0,333809,5,2분기
202004,경원선,가능,108463,39266,102037,38583,20200503,0,0,0,0,288349,4,2분기
202003,경원선,가능,107890,36151,102071,35662,20200403,0,0,0,0,281774,3,1분기
202002,경원선,가능,120171,44118,113818,42895,20200303,0,0,0,0,321002,2,1분기
202001,경원선,가능,139509,55668,130930,54258,20200203,0,0,0,0,380365,1,1분기
202012,3호선,가락시장,140260,54242,138646,52490,20210103,3호선,송파구,가락1동,송파구_가락1동,385638,12,4분기
202012,3호선,가락시장,140260,54242,138646,52490,20210103,8호선,송파구,가락1동,송파구_가락1동,385638,12,4분기
202012,8호선,가락시장,130705,47117,150144,48061,20210103,3호선,송파구,가락1동,송파구_가락1동,376027,12,4분기
202012,8호선,가락시장,130705,47117,150144,48061,20210103,8호선,송파구,가락1동,송파구_가락1동,376027,12,4분기
202011,3호선,가락시장,171702,65255,170692,64728,20201203,3호선,송파구,가락1동,송파구_가락1동,472377,11,4분기
202011,3호선,가락시장,171702,65255,170692,64728,20201203,8호선,송파구,가락1동,송파구_가락1동,472377,11,4분기
202011,8호선,가락시장,151100,54015,175749,55666,20201203,3호선,송파구,가락1동,송파구_가락1동,436530,11,4분기
202011,8호선,가락시장,151100,54015,175749,55666,20201203,8호선,송파구,가락1동,송파구_가락1동,436530,11,4분기
202010,3호선,가락시장,164955,64704,164274,63363,20201103,3호선,송파구,가락1동,송파구_가락1동,457296,10,4분기
202010,3호선,가락시장,164955,64704,164274,63363,20201103,8호선,송파구,가락1동,송파구_가락1동,457296,10,4분기
202010,8호선,가락시장,145422,54338,170401,55770,20201103,3호선,송파구,가락1동,송파구_가락1동,425931,10,4분기
202010,8호선,가락시장,145422,54338,170401,55770,20201103,8호선,송파구,가락1동,송파구_가락1동,425931,10,4분기
202009,3호선,가락시장,145109,61059,143578,60012,20201003,3호선,송파구,가락1동,송파구_가락1동,409758,9,3분기
202009,3호선,가락시장,145109,61059,143578,60012,20201003,8호선,송파구,가락1동,송파구_가락1동,409758,9,3분기
202009,8호선,가락시장,130201,53367,150156,55918,20201003,3호선,송파구,가락1동,송파구_가락1동,389642,9,3분기
202009,8호선,가락시장,130201,53367,150156,55918,20201003,8호선,송파구,가락1동,송파구_가락1동,389642,9,3분기
202008,3호선,가락시장,153418,57323,149134,55822,20200903,3호선,송파구,가락1동,송파구_가락1동,415697,8,3분기
202008,3호선,가락시장,153418,57323,149134,55822,20200903,8호선,송파구,가락1동,송파구_가락1동,415697,8,3분기
202008,8호선,가락시장,132159,45043,152942,46557,20200903,3호선,송파구,가락1동,송파구_가락1동,376701,8,3분기
202008,8호선,가락시장,132159,45043,152942,46557,20200903,8호선,송파구,가락1동,송파구_가락1동,376701,8,3분기
202007,3호선,가락시장,190070,66393,186105,64383,20200803,3호선,송파구,가락1동,송파구_가락1동,506951,7,3분기
202007,3호선,가락시장,190070,66393,186105,64383,20200803,8호선,송파구,가락1동,송파구_가락1동,506951,7,3분기
202007,8호선,가락시장,160265,52880,187371,54433,20200803,3호선,송파구,가락1동,송파구_가락1동,454949,7,3분기
202007,8호선,가락시장,160265,52880,187371,54433,20200803,8호선,송파구,가락1동,송파구_가락1동,454949,7,3분기
202006,3호선,가락시장,177620,63130,174979,61521,20200703,3호선,송파구,가락1동,송파구_가락1동,477250,6,2분기
202006,3호선,가락시장,177620,63130,174979,61521,20200703,8호선,송파구,가락1동,송파구_가락1동,477250,6,2분기
202006,8호선,가락시장,151222,49524,177543,51240,20200703,3호선,송파구,가락1동,송파구_가락1동,429529,6,2분기
202006,8호선,가락시장,151222,49524,177543,51240,20200703,8호선,송파구,가락1동,송파구_가락1동,429529,6,2분기
202005,3호선,가락시장,165689,62230,162985,60750,20200603,3호선,송파구,가락1동,송파구_가락1동,451654,5,2분기
202005,3호선,가락시장,165689,62230,162985,60750,20200603,8호선,송파구,가락1동,송파구_가락1동,451654,5,2분기
202005,8호선,가락시장,143829,51293,167906,52917,20200603,3호선,송파구,가락1동,송파구_가락1동,415945,5,2분기
202005,8호선,가락시장,143829,51293,167906,52917,20200603,8호선,송파구,가락1동,송파구_가락1동,415945,5,2분기
202004,3호선,가락시장,151513,52206,148756,50803,20200503,3호선,송파구,가락1동,송파구_가락1동,403278,4,2분기
202004,3호선,가락시장,151513,52206,148756,50803,20200503,8호선,송파구,가락1동,송파구_가락1동,403278,4,2분기
202004,8호선,가락시장,135171,45761,158704,47135,20200503,3호선,송파구,가락1동,송파구_가락1동,386771,4,2분기
202004,8호선,가락시장,135171,45761,158704,47135,20200503,8호선,송파구,가락1동,송파구_가락1동,386771,4,2분기
202003,3호선,가락시장,143880,44555,140216,43508,20200403,3호선,송파구,가락1동,송파구_가락1동,372159,3,1분기
202003,3호선,가락시장,143880,44555,140216,43508,20200403,8호선,송파구,가락1동,송파구_가락1동,372159,3,1분기
202003,8호선,가락시장,129938,40354,151835,41602,20200403,3호선,송파구,가락1동,송파구_가락1동,363729,3,1분기
202003,8호선,가락시장,129938,40354,151835,41602,20200403,8호선,송파구,가락1동,송파구_가락1동,363729,3,1분기
202002,3호선,가락시장,172661,54995,169154,53437,20200303,3호선,송파구,가락1동,송파구_가락1동,450247,2,1분기
202002,3호선,가락시장,172661,54995,169154,53437,20200303,8호선,송파구,가락1동,송파구_가락1동,450247,2,1분기
202002,8호선,가락시장,150725,44070,174380,44880,20200303,3호선,송파구,가락1동,송파구_가락1동,414055,2,1분기
202002,8호선,가락시장,150725,44070,174380,44880,20200303,8호선,송파구,가락1동,송파구_가락1동,414055,2,1분기
202001,3호선,가락시장,208246,79798,204666,77842,20200203,3호선,송파구,가락1동,송파구_가락1동,570552,1,1분기
202001,3호선,가락시장,208246,79798,204666,77842,20200203,8호선,송파구,가락1동,송파구_가락1동,570552,1,1분기
202001,8호선,가락시장,176733,63638,207825,65870,20200203,3호선,송파구,가락1동,송파구_가락1동,514066,1,1분기
202001,8호선,가락시장,176733,63638,207825,65870,20200203,8호선,송파구,가락1동,송파구_가락1동,514066,1,1분기
202012,7호선,가산디지털단지,919322,66933,915518,63222,20210103,7호선,금천구,가산동,금천구_가산동,1964995,12,4분기
202012,7호선,가산디지털단지,919322,66933,915518,63222,20210103,경부선,금천구,가산동,금천구_가산동,1964995,12,4분기
202012,경부선,가산디지털단지,336800,24182,406971,26523,20210103,7호선,금천구,가산동,금천구_가산동,794476,12,4분기
202012,경부선,가산디지털단지,336800,24182,406971,26523,20210103,경부선,금천구,가산동,금천구_가산동,794476,12,4분기
202011,7호선,가산디지털단지,1040049,74878,1042589,71209,20201203,7호선,금천구,가산동,금천구_가산동,2228725,11,4분기
202011,7호선,가산디지털단지,1040049,74878,1042589,71209,20201203,경부선,금천구,가산동,금천구_가산동,2228725,11,4분기
202011,경부선,가산디지털단지,398476,28226,478958,31513,20201203,7호선,금천구,가산동,금천구_가산동,937173,11,4분기
202011,경부선,가산디지털단지,398476,28226,478958,31513,20201203,경부선,금천구,가산동,금천구_가산동,937173,11,4분기
202010,7호선,가산디지털단지,972651,71857,976959,68360,20201103,7호선,금천구,가산동,금천구_가산동,2089827,10,4분기
202010,7호선,가산디지털단지,972651,71857,976959,68360,20201103,경부선,금천구,가산동,금천구_가산동,2089827,10,4분기
202010,경부선,가산디지털단지,378906,28215,457559,31232,20201103,7호선,금천구,가산동,금천구_가산동,895912,10,4분기
202010,경부선,가산디지털단지,378906,28215,457559,31232,20201103,경부선,금천구,가산동,금천구_가산동,895912,10,4분기
202009,7호선,가산디지털단지,903567,64811,907667,61662,20201003,7호선,금천구,가산동,금천구_가산동,1937707,9,3분기
202009,7호선,가산디지털단지,903567,64811,907667,61662,20201003,경부선,금천구,가산동,금천구_가산동,1937707,9,3분기
202009,경부선,가산디지털단지,345466,24941,412293,27096,20201003,7호선,금천구,가산동,금천구_가산동,809796,9,3분기
202009,경부선,가산디지털단지,345466,24941,412293,27096,20201003,경부선,금천구,가산동,금천구_가산동,809796,9,3분기
202008,7호선,가산디지털단지,900351,63870,906263,60076,20200903,7호선,금천구,가산동,금천구_가산동,1930560,8,3분기
202008,7호선,가산디지털단지,900351,63870,906263,60076,20200903,경부선,금천구,가산동,금천구_가산동,1930560,8,3분기
202008,경부선,가산디지털단지,344095,24017,409202,26836,20200903,7호선,금천구,가산동,금천구_가산동,804150,8,3분기
202008,경부선,가산디지털단지,344095,24017,409202,26836,20200903,경부선,금천구,가산동,금천구_가산동,804150,8,3분기
202007,7호선,가산디지털단지,1092353,75745,1102697,71659,20200803,7호선,금천구,가산동,금천구_가산동,2342454,7,3분기
202007,7호선,가산디지털단지,1092353,75745,1102697,71659,20200803,경부선,금천구,가산동,금천구_가산동,2342454,7,3분기
202007,경부선,가산디지털단지,426257,28865,501118,32268,20200803,7호선,금천구,가산동,금천구_가산동,988508,7,3분기
202007,경부선,가산디지털단지,426257,28865,501118,32268,20200803,경부선,금천구,가산동,금천구_가산동,988508,7,3분기
202006,7호선,가산디지털단지,1044575,73504,1053890,69066,20200703,7호선,금천구,가산동,금천구_가산동,2241035,6,2분기
202006,7호선,가산디지털단지,1044575,73504,1053890,69066,20200703,경부선,금천구,가산동,금천구_가산동,2241035,6,2분기
202006,경부선,가산디지털단지,412567,27931,481451,31382,20200703,7호선,금천구,가산동,금천구_가산동,953331,6,2분기
202006,경부선,가산디지털단지,412567,27931,481451,31382,20200703,경부선,금천구,가산동,금천구_가산동,953331,6,2분기
202005,7호선,가산디지털단지,946894,73862,947633,69312,20200603,7호선,금천구,가산동,금천구_가산동,2037701,5,2분기
202005,7호선,가산디지털단지,946894,73862,947633,69312,20200603,경부선,금천구,가산동,금천구_가산동,2037701,5,2분기
202005,경부선,가산디지털단지,375576,27986,444039,31756,20200603,7호선,금천구,가산동,금천구_가산동,879357,5,2분기
202005,경부선,가산디지털단지,375576,27986,444039,31756,20200603,경부선,금천구,가산동,금천구_가산동,879357,5,2분기
202004,7호선,가산디지털단지,911796,65573,920837,61842,20200503,7호선,금천구,가산동,금천구_가산동,1960048,4,2분기
202004,7호선,가산디지털단지,911796,65573,920837,61842,20200503,경부선,금천구,가산동,금천구_가산동,1960048,4,2분기
202004,경부선,가산디지털단지,360626,24713,418975,28060,20200503,7호선,금천구,가산동,금천구_가산동,832374,4,2분기
202004,경부선,가산디지털단지,360626,24713,418975,28060,20200503,경부선,금천구,가산동,금천구_가산동,832374,4,2분기
202003,7호선,가산디지털단지,872297,57930,883554,54751,20200403,7호선,금천구,가산동,금천구_가산동,1868532,3,1분기
202003,7호선,가산디지털단지,872297,57930,883554,54751,20200403,경부선,금천구,가산동,금천구_가산동,1868532,3,1분기
202003,경부선,가산디지털단지,344035,21464,396619,23683,20200403,7호선,금천구,가산동,금천구_가산동,785801,3,1분기
202003,경부선,가산디지털단지,344035,21464,396619,23683,20200403,경부선,금천구,가산동,금천구_가산동,785801,3,1분기
202002,7호선,가산디지털단지,979194,63530,988569,60450,20200303,7호선,금천구,가산동,금천구_가산동,2091743,2,1분기
202002,7호선,가산디지털단지,979194,63530,988569,60450,20200303,경부선,금천구,가산동,금천구_가산동,2091743,2,1분기
202002,경부선,가산디지털단지,398649,26065,457838,28465,20200303,7호선,금천구,가산동,금천구_가산동,911017,2,1분기
202002,경부선,가산디지털단지,398649,26065,457838,28465,20200303,경부선,금천구,가산동,금천구_가산동,911017,2,1분기
202001,7호선,가산디지털단지,1084436,73153,1080089,69045,20200203,7호선,금천구,가산동,금천구_가산동,2306723,1,1분기
202001,7호선,가산디지털단지,1084436,73153,1080089,69045,20200203,경부선,금천구,가산동,금천구_가산동,2306723,1,1분기
202001,경부선,가산디지털단지,444151,31703,526413,35256,20200203,7호선,금천구,가산동,금천구_가산동,1037523,1,1분기
202001,경부선,가산디지털단지,444151,31703,526413,35256,20200203,경부선,금천구,가산동,금천구_가산동,1037523,1,1분기
202012,9호선,가양,345493,87687,340755,85842,20210103,9호선,강서구,등촌3동,강서구_등촌3동,859777,12,4분기
202011,9호선,가양,417077,103818,405307,101409,20201203,9호선,강서구,등촌3동,강서구_등촌3동,1027611,11,4분기
202010,9호선,가양,404031,105620,391342,102517,20201103,9호선,강서구,등촌3동,강서구_등촌3동,1003510,10,4분기
202009,9호선,가양,353358,92444,342966,90135,20201003,9호선,강서구,등촌3동,강서구_등촌3동,878903,9,3분기
202008,9호선,가양,383522,95192,369427,93010,20200903,9호선,강서구,등촌3동,강서구_등촌3동,941151,8,3분기
202007,9호선,가양,451203,108797,432818,106222,20200803,9호선,강서구,등촌3동,강서구_등촌3동,1099040,7,3분기
202006,9호선,가양,424994,101969,410307,99387,20200703,9호선,강서구,등촌3동,강서구_등촌3동,1036657,6,2분기
202005,9호선,가양,397945,104029,383612,101339,20200603,9호선,강서구,등촌3동,강서구_등촌3동,986925,5,2분기
202004,9호선,가양,368520,89968,352855,87145,20200503,9호선,강서구,등촌3동,강서구_등촌3동,898488,4,2분기
202003,9호선,가양,355997,80025,344855,78136,20200403,9호선,강서구,등촌3동,강서구_등촌3동,859013,3,1분기
202002,9호선,가양,414599,96180,401321,93490,20200303,9호선,강서구,등촌3동,강서구_등촌3동,1005590,2,1분기
202001,9호선,가양,474134,122666,459955,119194,20200203,9호선,강서구,등촌3동,강서구_등촌3동,1175949,1,1분기
202012,우이신설선,가오리,56107,31987,55316,33582,20210103,우이신설선,강북구,수유2동,강북구_수유2동,176992,12,4분기
202011,우이신설선,가오리,64978,37677,61576,38992,20201203,우이신설선,강북구,수유2동,강북구_수유2동,203223,11,4분기
202010,우이신설선,가오리,64150,38391,59478,39041,20201103,우이신설선,강북구,수유2동,강북구_수유2동,201060,10,4분기
202009,우이신설선,가오리,56883,32940,54748,34259,20201003,우이신설선,강북구,수유2동,강북구_수유2동,178830,9,3분기
202008,우이신설선,가오리,58535,33453,54887,34758,20200903,우이신설선,강북구,수유2동,강북구_수유2동,181633,8,3분기
202007,우이신설선,가오리,70459,39060,65365,40383,20200803,우이신설선,강북구,수유2동,강북구_수유2동,215267,7,3분기
202006,우이신설선,가오리,66589,36744,62129,38540,20200703,우이신설선,강북구,수유2동,강북구_수유2동,204002,6,2분기
202005,우이신설선,가오리,62158,36997,57627,38053,20200603,우이신설선,강북구,수유2동,강북구_수유2동,194835,5,2분기
202004,우이신설선,가오리,58169,32111,53523,33769,20200503,우이신설선,강북구,수유2동,강북구_수유2동,177572,4,2분기
202003,우이신설선,가오리,55392,28375,52821,30340,20200403,우이신설선,강북구,수유2동,강북구_수유2동,166928,3,1분기
202002,우이신설선,가오리,62825,34107,59400,36203,20200303,우이신설선,강북구,수유2동,강북구_수유2동,192535,2,1분기
202001,우이신설선,가오리,73032,44403,68015,45861,20200203,우이신설선,강북구,수유2동,강북구_수유2동,231311,1,1분기
202012,경의선,가좌,83245,29041,76122,28793,20210103,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,217201,12,4분기
202011,경의선,가좌,103001,36505,92265,35668,20201203,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,267439,11,4분기
202010,경의선,가좌,99031,37965,89793,37211,20201103,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,264000,10,4분기
202009,경의선,가좌,85280,32454,77049,32212,20201003,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,226995,9,3분기
202008,경의선,가좌,90809,32490,81512,32340,20200903,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,237151,8,3분기
202007,경의선,가좌,108434,38997,96835,38313,20200803,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,282579,7,3분기
202006,경의선,가좌,101344,36967,91191,36681,20200703,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,266183,6,2분기
202005,경의선,가좌,93566,38425,84860,37824,20200603,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,254675,5,2분기
202004,경의선,가좌,84219,32410,75638,32085,20200503,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,224352,4,2분기
202003,경의선,가좌,79055,27187,70801,27520,20200403,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,204563,3,1분기
202002,경의선,가좌,92294,32526,83243,32723,20200303,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,240786,2,1분기
202001,경의선,가좌,109596,44656,98139,44778,20200203,경의중앙선,서대문구,남가좌1동,서대문구_남가좌1동,297169,1,1분기
202012,분당선,가천대,156552,18751,175149,19462,20210103,0,0,0,0,369914,12,4분기
202011,분당선,가천대,188497,21721,213739,22649,20201203,0,0,0,0,446606,11,4분기
202010,분당선,가천대,194814,21442,216388,22637,20201103,0,0,0,0,455281,10,4분기
202009,분당선,가천대,132047,18858,151575,19891,20201003,0,0,0,0,322371,9,3분기
202008,분당선,가천대,123260,19050,145674,20226,20200903,0,0,0,0,308210,8,3분기
202007,분당선,가천대,175799,21984,198468,23270,20200803,0,0,0,0,419521,7,3분기
202006,분당선,가천대,155890,20647,178340,21918,20200703,0,0,0,0,376795,6,2분기
202005,분당선,가천대,166147,21054,184957,22362,20200603,0,0,0,0,394520,5,2분기
202004,분당선,가천대,130806,18220,149594,19711,20200503,0,0,0,0,318331,4,2분기
202003,분당선,가천대,113598,16556,134097,17910,20200403,0,0,0,0,282161,3,1분기
202002,분당선,가천대,138921,19943,162527,21606,20200303,0,0,0,0,342997,2,1분기
202001,분당선,가천대,173074,25481,197277,27650,20200203,0,0,0,0,423482,1,1분기
202012,경춘선,가평,21781,7953,22420,7775,20210103,0,0,0,0,59929,12,4분기
202011,경춘선,가평,33860,11656,34227,11507,20201203,0,0,0,0,91250,11,4분기
202010,경춘선,가평,43523,17900,42941,17682,20201103,0,0,0,0,122046,10,4분기
202009,경춘선,가평,27566,11115,28816,11020,20201003,0,0,0,0,78517,9,3분기
202008,경춘선,가평,46124,9992,46492,9766,20200903,0,0,0,0,112374,8,3분기
202007,경춘선,가평,59884,13875,62019,13592,20200803,0,0,0,0,149370,7,3분기
202006,경춘선,가평,37648,13689,37936,13547,20200703,0,0,0,0,102820,6,2분기
202005,경춘선,가평,35876,14690,35813,14585,20200603,0,0,0,0,100964,5,2분기
202004,경춘선,가평,26754,12024,27500,11976,20200503,0,0,0,0,78254,4,2분기
202003,경춘선,가평,21205,8253,21301,8084,20200403,0,0,0,0,58843,3,1분기
202002,경춘선,가평,32525,9174,33204,8920,20200303,0,0,0,0,83823,2,1분기
202001,경춘선,가평,43727,12762,45116,12332,20200203,0,0,0,0,113937,1,1분기
202012,경인선,간석,95905,29076,92051,28004,20210103,0,0,0,0,245036,12,4분기
202011,경인선,간석,115352,35384,108951,34056,20201203,0,0,0,0,293743,11,4분기
202010,경인선,간석,115111,36689,108387,34975,20201103,0,0,0,0,295162,10,4분기
202009,경인선,간석,99559,31915,95216,30735,20201003,0,0,0,0,257425,9,3분기
202008,경인선,간석,104600,32044,99687,30728,20200903,0,0,0,0,267059,8,3분기
202007,경인선,간석,125774,36999,118979,35407,20200803,0,0,0,0,317159,7,3분기
202006,경인선,간석,117124,34038,110740,32658,20200703,0,0,0,0,294560,6,2분기
202005,경인선,간석,110871,36035,104592,34353,20200603,0,0,0,0,285851,5,2분기
202004,경인선,간석,103611,30267,97454,28927,20200503,0,0,0,0,260259,4,2분기
202003,경인선,간석,98375,26738,92555,25370,20200403,0,0,0,0,243038,3,1분기
202002,경인선,간석,116255,33714,109605,32334,20200303,0,0,0,0,291908,2,1분기
202001,경인선,간석,138937,45785,130757,44144,20200203,0,0,0,0,359623,1,1분기
202012,경춘선,갈매,51317,13340,43652,12819,20210103,0,0,0,0,121128,12,4분기
202011,경춘선,갈매,61603,16110,51230,15302,20201203,0,0,0,0,144245,11,4분기
