,사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
8947,202109,분당선,청명,80031,15502,76349,15436,20211003,0,0,0,0,187318,9,3분기
8948,202108,분당선,청명,78126,14532,75117,14408,20210903,0,0,0,0,182183,8,3분기
8949,202107,분당선,청명,84078,15247,80677,15269,20210803,0,0,0,0,195271,7,3분기
8950,202106,분당선,청명,96348,16041,92002,16069,20210703,0,0,0,0,220460,6,2분기
8951,202105,분당선,청명,91634,15694,87125,15863,20210603,0,0,0,0,210316,5,2분기
8952,202104,분당선,청명,94908,15715,90021,15608,20210503,0,0,0,0,216252,4,2분기
8953,202103,분당선,청명,95816,15434,91111,15446,20210403,0,0,0,0,217807,3,1분기
8954,202102,분당선,청명,75361,11942,71770,11902,20210303,0,0,0,0,170975,2,1분기
8955,202101,분당선,청명,79627,11725,76561,11861,20210203,0,0,0,0,179774,1,1분기
8956,202112,경춘선,청평,29560,12586,28861,12647,20220103,0,0,0,0,83654,12,4분기
8957,202111,경춘선,청평,31631,15426,30853,15517,20211203,0,0,0,0,93427,11,4분기
8958,202110,경춘선,청평,33110,17955,32616,17843,20211103,0,0,0,0,101524,10,4분기
8959,202109,경춘선,청평,30147,16475,29618,16462,20211003,0,0,0,0,92702,9,3분기
8960,202108,경춘선,청평,29945,14584,28519,14676,20210903,0,0,0,0,87724,8,3분기
8961,202107,경춘선,청평,29949,14768,29033,14886,20210803,0,0,0,0,88636,7,3분기
8962,202106,경춘선,청평,33464,16679,32699,16734,20210703,0,0,0,0,99576,6,2분기
8963,202105,경춘선,청평,33074,16937,32358,16741,20210603,0,0,0,0,99110,5,2분기
8964,202104,경춘선,청평,30393,17737,30359,17763,20210503,0,0,0,0,96252,4,2분기
8965,202103,경춘선,청평,28322,14506,27757,14540,20210403,0,0,0,0,85125,3,1분기
8966,202102,경춘선,청평,23491,10161,22737,10097,20210303,0,0,0,0,66486,2,1분기
8967,202101,경춘선,청평,19585,9066,19345,9010,20210203,0,0,0,0,57006,1,1분기
8968,202112,경강선,초월,72145,12194,68523,12000,20220103,0,0,0,0,164862,12,4분기
8969,202111,경강선,초월,73264,13083,68203,12726,20211203,0,0,0,0,167276,11,4분기
8970,202110,경강선,초월,67852,12985,63262,12685,20211103,0,0,0,0,156784,10,4분기
8971,202109,경강선,초월,60722,11447,56764,11337,20211003,0,0,0,0,140270,9,3분기
8972,202108,경강선,초월,58831,10660,56401,10503,20210903,0,0,0,0,136395,8,3분기
8973,202107,경강선,초월,62879,10970,59583,10769,20210803,0,0,0,0,144201,7,3분기
8974,202106,경강선,초월,70873,12475,66303,12094,20210703,0,0,0,0,161745,6,2분기
8975,202105,경강선,초월,68087,12081,63917,11787,20210603,0,0,0,0,155872,5,2분기
8976,202104,경강선,초월,68403,12374,64501,12003,20210503,0,0,0,0,157281,4,2분기
8977,202103,경강선,초월,68454,11829,64832,11605,20210403,0,0,0,0,156720,3,1분기
8978,202102,경강선,초월,55693,8902,53380,8852,20210303,0,0,0,0,126827,2,1분기
8979,202101,경강선,초월,57639,8431,56401,8534,20210203,0,0,0,0,131005,1,1분기
8980,202112,안산선,초지,112048,12277,116610,12590,20220103,0,0,0,0,253525,12,4분기
8981,202111,안산선,초지,121266,14084,127013,14313,20211203,0,0,0,0,276676,11,4분기
8982,202110,안산선,초지,109535,14977,115733,15153,20211103,0,0,0,0,255398,10,4분기
8983,202109,안산선,초지,97249,12911,102492,13279,20211003,0,0,0,0,225931,9,3분기
8984,202108,안산선,초지,89229,11902,92147,12105,20210903,0,0,0,0,205383,8,3분기
8985,202107,안산선,초지,93075,12092,95300,12186,20210803,0,0,0,0,212653,7,3분기
8986,202106,안산선,초지,112725,13625,118753,13960,20210703,0,0,0,0,259063,6,2분기
8987,202105,안산선,초지,110500,13276,115963,13388,20210603,0,0,0,0,253127,5,2분기
8988,202104,안산선,초지,118795,14237,127156,14199,20210503,0,0,0,0,274387,4,2분기
8989,202103,안산선,초지,123718,13757,131585,13887,20210403,0,0,0,0,282947,3,1분기
8990,202102,안산선,초지,85960,10171,87705,10347,20210303,0,0,0,0,194183,2,1분기
8991,202101,안산선,초지,85867,9565,87400,9564,20210203,0,0,0,0,192396,1,1분기
