사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
201902,경춘선,갈매,53319,14237,46099,13345,20190303,0,0,0,0,127000,2,1분기
201901,경춘선,갈매,63226,16415,54339,15231,20190203,0,0,0,0,149211,1,1분기
201912,2호선,강남,2927300,197344,3046063,177501,20200103,2호선,강남구,역삼1동,강남구_역삼1동,6348208,12,4분기
201912,2호선,강남,2927300,197344,3046063,177501,20200103,신분당선,서초구,서초2동,서초구_서초2동,6348208,12,4분기
201911,2호선,강남,2782513,184515,2882949,164476,20191203,2호선,강남구,역삼1동,강남구_역삼1동,6014453,11,4분기
201911,2호선,강남,2782513,184515,2882949,164476,20191203,신분당선,서초구,서초2동,서초구_서초2동,6014453,11,4분기
201910,2호선,강남,2804431,190064,2896068,169814,20191103,2호선,강남구,역삼1동,강남구_역삼1동,6060377,10,4분기
201910,2호선,강남,2804431,190064,2896068,169814,20191103,신분당선,서초구,서초2동,서초구_서초2동,6060377,10,4분기
201909,2호선,강남,2525088,164865,2608118,148298,20191003,2호선,강남구,역삼1동,강남구_역삼1동,5446369,9,3분기
201909,2호선,강남,2525088,164865,2608118,148298,20191003,신분당선,서초구,서초2동,서초구_서초2동,5446369,9,3분기
201908,2호선,강남,2966873,173739,3053288,156221,20190903,2호선,강남구,역삼1동,강남구_역삼1동,6350121,8,3분기
201908,2호선,강남,2966873,173739,3053288,156221,20190903,신분당선,서초구,서초2동,서초구_서초2동,6350121,8,3분기
201907,2호선,강남,3176079,191844,3252101,172414,20190803,2호선,강남구,역삼1동,강남구_역삼1동,6792438,7,3분기
201907,2호선,강남,3176079,191844,3252101,172414,20190803,신분당선,서초구,서초2동,서초구_서초2동,6792438,7,3분기
201906,2호선,강남,2716424,181864,2802762,163127,20221216,2호선,강남구,역삼1동,강남구_역삼1동,5864177,6,2분기
201906,2호선,강남,2716424,181864,2802762,163127,20221216,신분당선,서초구,서초2동,서초구_서초2동,5864177,6,2분기
201905,2호선,강남,2894341,192979,2974378,172755,20190603,2호선,강남구,역삼1동,강남구_역삼1동,6234453,5,2분기
201905,2호선,강남,2894341,192979,2974378,172755,20190603,신분당선,서초구,서초2동,서초구_서초2동,6234453,5,2분기
201904,2호선,강남,2813223,186840,2887203,167942,20190503,2호선,강남구,역삼1동,강남구_역삼1동,6055208,4,2분기
201904,2호선,강남,2813223,186840,2887203,167942,20190503,신분당선,서초구,서초2동,서초구_서초2동,6055208,4,2분기
201903,2호선,강남,2898049,187400,2966521,169184,20190403,2호선,강남구,역삼1동,강남구_역삼1동,6221154,3,1분기
201903,2호선,강남,2898049,187400,2966521,169184,20190403,신분당선,서초구,서초2동,서초구_서초2동,6221154,3,1분기
201902,2호선,강남,2582848,154152,2649051,139183,20190303,2호선,강남구,역삼1동,강남구_역삼1동,5525234,2,1분기
201902,2호선,강남,2582848,154152,2649051,139183,20190303,신분당선,서초구,서초2동,서초구_서초2동,5525234,2,1분기
201901,2호선,강남,3153418,186486,3210437,167666,20190203,2호선,강남구,역삼1동,강남구_역삼1동,6718007,1,1분기
201901,2호선,강남,3153418,186486,3210437,167666,20190203,신분당선,서초구,서초2동,서초구_서초2동,6718007,1,1분기
201912,7호선,강남구청,418383,50914,476212,51017,20200103,7호선,강남구,논현2동,강남구_논현2동,996526,12,4분기
201912,7호선,강남구청,418383,50914,476212,51017,20200103,분당선,강남구,논현2동,강남구_논현2동,996526,12,4분기
201912,분당선,강남구청,246536,44765,290666,48666,20200103,7호선,강남구,논현2동,강남구_논현2동,630633,12,4분기
201912,분당선,강남구청,246536,44765,290666,48666,20200103,분당선,강남구,논현2동,강남구_논현2동,630633,12,4분기
201911,7호선,강남구청,424475,49978,479189,50247,20191203,7호선,강남구,논현2동,강남구_논현2동,1003889,11,4분기
201911,7호선,강남구청,424475,49978,479189,50247,20191203,분당선,강남구,논현2동,강남구_논현2동,1003889,11,4분기
201911,분당선,강남구청,247671,43249,291553,47211,20191203,7호선,강남구,논현2동,강남구_논현2동,629684,11,4분기
201911,분당선,강남구청,247671,43249,291553,47211,20191203,분당선,강남구,논현2동,강남구_논현2동,629684,11,4분기
201910,7호선,강남구청,422607,51477,479261,52083,20191103,7호선,강남구,논현2동,강남구_논현2동,1005428,10,4분기
201910,7호선,강남구청,422607,51477,479261,52083,20191103,분당선,강남구,논현2동,강남구_논현2동,1005428,10,4분기
201910,분당선,강남구청,247547,44975,293136,48913,20191103,7호선,강남구,논현2동,강남구_논현2동,634571,10,4분기
201910,분당선,강남구청,247547,44975,293136,48913,20191103,분당선,강남구,논현2동,강남구_논현2동,634571,10,4분기
201909,7호선,강남구청,373427,44663,421717,45008,20191003,7호선,강남구,논현2동,강남구_논현2동,884815,9,3분기
201909,7호선,강남구청,373427,44663,421717,45008,20191003,분당선,강남구,논현2동,강남구_논현2동,884815,9,3분기
201909,분당선,강남구청,218328,39259,257869,42905,20191003,7호선,강남구,논현2동,강남구_논현2동,558361,9,3분기
201909,분당선,강남구청,218328,39259,257869,42905,20191003,분당선,강남구,논현2동,강남구_논현2동,558361,9,3분기
201908,7호선,강남구청,392169,45660,445278,46027,20190903,7호선,강남구,논현2동,강남구_논현2동,929134,8,3분기
201908,7호선,강남구청,392169,45660,445278,46027,20190903,분당선,강남구,논현2동,강남구_논현2동,929134,8,3분기
201908,분당선,강남구청,230338,39505,272266,42969,20190903,7호선,강남구,논현2동,강남구_논현2동,585078,8,3분기
201908,분당선,강남구청,230338,39505,272266,42969,20190903,분당선,강남구,논현2동,강남구_논현2동,585078,8,3분기
201907,7호선,강남구청,420946,48166,476656,48659,20190803,7호선,강남구,논현2동,강남구_논현2동,994427,7,3분기
201907,7호선,강남구청,420946,48166,476656,48659,20190803,분당선,강남구,논현2동,강남구_논현2동,994427,7,3분기
201907,분당선,강남구청,247640,42171,291774,45827,20190803,7호선,강남구,논현2동,강남구_논현2동,627412,7,3분기
201907,분당선,강남구청,247640,42171,291774,45827,20190803,분당선,강남구,논현2동,강남구_논현2동,627412,7,3분기
201906,7호선,강남구청,387761,48954,440376,49084,20221216,7호선,강남구,논현2동,강남구_논현2동,926175,6,2분기
201906,7호선,강남구청,387761,48954,440376,49084,20221216,분당선,강남구,논현2동,강남구_논현2동,926175,6,2분기
201906,분당선,강남구청,225775,41445,265927,44885,20221216,7호선,강남구,논현2동,강남구_논현2동,578032,6,2분기
201906,분당선,강남구청,225775,41445,265927,44885,20221216,분당선,강남구,논현2동,강남구_논현2동,578032,6,2분기
201905,7호선,강남구청,423053,51713,479654,51718,20190603,7호선,강남구,논현2동,강남구_논현2동,1006138,5,2분기
201905,7호선,강남구청,423053,51713,479654,51718,20190603,분당선,강남구,논현2동,강남구_논현2동,1006138,5,2분기
201905,분당선,강남구청,247077,44171,289343,48039,20190603,7호선,강남구,논현2동,강남구_논현2동,628630,5,2분기
201905,분당선,강남구청,247077,44171,289343,48039,20190603,분당선,강남구,논현2동,강남구_논현2동,628630,5,2분기
201904,7호선,강남구청,418068,50710,473069,50983,20190503,7호선,강남구,논현2동,강남구_논현2동,992830,4,2분기
201904,7호선,강남구청,418068,50710,473069,50983,20190503,분당선,강남구,논현2동,강남구_논현2동,992830,4,2분기
201904,분당선,강남구청,245701,43817,287104,47769,20190503,7호선,강남구,논현2동,강남구_논현2동,624391,4,2분기
201904,분당선,강남구청,245701,43817,287104,47769,20190503,분당선,강남구,논현2동,강남구_논현2동,624391,4,2분기
201903,7호선,강남구청,412004,49882,463106,49867,20190403,7호선,강남구,논현2동,강남구_논현2동,974859,3,1분기
201903,7호선,강남구청,412004,49882,463106,49867,20190403,분당선,강남구,논현2동,강남구_논현2동,974859,3,1분기
201903,분당선,강남구청,240860,42851,282218,46361,20190403,7호선,강남구,논현2동,강남구_논현2동,612290,3,1분기
201903,분당선,강남구청,240860,42851,282218,46361,20190403,분당선,강남구,논현2동,강남구_논현2동,612290,3,1분기
201902,7호선,강남구청,337662,41467,379383,41380,20190303,7호선,강남구,논현2동,강남구_논현2동,799892,2,1분기
201902,7호선,강남구청,337662,41467,379383,41380,20190303,분당선,강남구,논현2동,강남구_논현2동,799892,2,1분기
201902,분당선,강남구청,197263,34625,230229,37591,20190303,7호선,강남구,논현2동,강남구_논현2동,499708,2,1분기
201902,분당선,강남구청,197263,34625,230229,37591,20190303,분당선,강남구,논현2동,강남구_논현2동,499708,2,1분기
201901,7호선,강남구청,414491,49264,464248,49362,20190203,7호선,강남구,논현2동,강남구_논현2동,977365,1,1분기
201901,7호선,강남구청,414491,49264,464248,49362,20190203,분당선,강남구,논현2동,강남구_논현2동,977365,1,1분기
201901,분당선,강남구청,241666,41928,281747,45124,20190203,7호선,강남구,논현2동,강남구_논현2동,610465,1,1분기
