시간대구분,행정동코드,총생활인구수,중국인체류인구수,중국외외국인체류인구수
0,11110515.0,285.02085217391306,96.66907934782608,188.3517706521739
0,11560550.0,655.7178923913043,474.85147391304344,180.8664543478261
0,11560540.0,944.3993315217392,341.35548260869564,603.0437130434783
0,11560535.0,1484.9106010869566,931.5585597826087,553.3520108695652
0,11560515.0,2528.824967391304,2388.589788043478,140.2351347826087
0,11545710.0,587.8560630434782,540.4962695652174,47.35982826086956
0,11545700.0,660.1292706521739,615.1686826086956,44.960602173913045
0,11545690.0,156.31732282608695,134.05954891304347,22.257775000000002
0,11545680.0,112.5495695652174,82.50665326086957,30.042896739130434
0,11545670.0,2150.930209782609,2000.2334978260872,150.69663369565217
0,11545640.0,1975.9652782608696,1875.645727173913,100.31950434782608
0,11560560.0,1022.7612369565218,584.4448282608696,438.3162641304348
0,11545630.0,3579.7270217391306,3435.7521500000003,143.97493804347826
0,11545610.0,2252.2443739130435,1974.5777326086957,277.66662391304345
0,11545510.0,4648.927268478261,3970.757560869565,678.1696163043479
0,11530790.0,590.779754347826,500.78511304347825,89.99462717391305
0,11530780.0,1211.2634739130435,1004.512322826087,206.75128152173914
0,11530770.0,884.7689141304347,795.6335945652173,89.13526847826087
0,11530760.0,521.5046532608695,440.48362391304346,81.0210945652174
0,11530750.0,629.0883423913044,550.7027978260869,78.38541304347825
0,11530740.0,1076.862225,979.3734499999999,97.48878043478261
0,11530730.0,487.422702173913,446.64344239130435,40.77916847826087
0,11530720.0,545.9585826086957,420.01926304347825,125.93933586956523
0,11545620.0,2230.573064130435,2135.067620652174,95.50540434782609
0,11560585.0,2802.908560869565,2569.8654282608695,233.04309673913042
0,11560605.0,561.8887108695652,427.36457934782607,134.52421086956522
0,11560610.0,533.9666217391305,349.19136956521737,184.77528152173912
0,11590660.0,838.0618597826086,642.976747826087,195.08513804347825
0,11590651.0,192.00543913043478,118.25878152173912,73.74664347826088
0,11590650.0,297.3270717391304,193.67011521739133,103.65697282608697
0,11590640.0,338.20942282608695,216.65992173913045,121.54956086956523
0,11590630.0,762.1331076086956,576.6288000000001,185.50435217391302
0,11590620.0,816.6724402173912,562.596622826087,254.0758195652174
0,11590605.0,3562.553232608696,2581.4796510869564,981.073572826087
0,11590560.0,514.5982532608696,394.2363608695652,120.36191630434783
0,11590550.0,413.23512717391304,283.8029532608696,129.4321108695652
0,11590540.0,450.2676902173913,360.33500869565216,89.93253804347826
0,11590530.0,1959.286679347826,1265.9707500000002,693.315970652174
0,11590520.0,946.7527304347826,777.8068663043479,168.94578804347827
0,11590510.0,540.4649804347827,362.2506880434783,178.21430108695654
0,11560720.0,8263.493479347826,8102.415852173914,161.07755652173913
0,11560710.0,11769.580705434782,11650.60449021739,118.97618152173912
0,11560700.0,4156.145705434783,4085.339568478261,70.80604347826088
0,11560690.0,414.1981434782609,334.137125,80.06096195652174
0,11560680.0,1368.4101282608694,1260.3382141304348,108.07185108695653
0,11560670.0,893.7788510869565,875.9069402173914,17.871898913043477
0,11560660.0,1304.1033869565217,1271.1003206521739,33.00309891304348
0,11560650.0,1771.0814978260871,1706.895768478261,64.18575434782609
0,11560630.0,2023.6878391304347,1804.995125,218.6926836956522
0,11560620.0,557.6058086956522,325.46642282608695,232.13938369565219
0,11530595.0,5122.562611956522,5007.160629347826,115.40195652173912
0,11590670.0,2106.891384782609,2036.6005402173912,70.2908
0,11530560.0,3442.1598739130436,3122.646804347826,319.5129902173913
0,11530540.0,5269.074470652174,5008.9680043478265,260.1064423913043
0,11470630.0,131.52264130434784,86.9732043478261,44.54937934782609
0,11470620.0,179.46325108695652,110.51329130434782,68.94996630434783
0,11470611.0,151.9548597826087,94.30429347826087,57.65055326086957
0,11470610.0,48.79353913043479,33.86767826086957,14.92593695652174
0,11470600.0,111.69873369565217,86.28666195652174,25.412081521739132
0,11470590.0,125.56027282608694,76.94512826086957,48.61522065217391
0,11470580.0,274.1669641304348,217.92920869565216,56.237742391304344
0,11470570.0,222.81043369565216,180.71905217391304,42.091355434782606
0,11470560.0,365.6394,279.0066402173913,86.63275543478261
0,11470550.0,281.8657173913044,121.09998478260869,160.76561847826088
0,11470640.0,589.5787793478261,459.4816119565217,130.09714347826088
0,11470540.0,221.95180217391305,142.01558369565217,79.93629673913043
0,11470520.0,454.2397913043478,241.7179869565217,212.52182173913044
0,11470510.0,377.8327467391304,228.03070869565218,149.8021
0,11440740.0,1170.0959141304347,292.6823804347826,877.4135532608695
0,11440730.0,693.5325673913044,351.07090434782606,342.4617565217391
0,11440720.0,681.0369315217391,333.69370326086954,347.3431782608696
0,11440710.0,1911.7785369565215,867.8986391304347,1043.8798945652175
0,11440700.0,344.1363652173913,183.5824836956522,160.55385326086957
0,11440690.0,634.128227173913,344.7448097826087,289.3832869565217
0,11440680.0,680.0452391304348,301.0450173913043,379.0002347826087
0,11440660.0,4371.954780434783,2094.795095652174,2277.1596336956522
0,11470530.0,191.70246086956521,109.01515543478261,82.68733260869566
0,11470650.0,930.777279347826,717.857675,212.91960326086956
0,11470670.0,153.09163043478262,46.9237195652174,106.16798260869565
0,11470680.0,163.9133793478261,118.91613260869565,44.997214130434784
0,11530530.0,9487.66242826087,9325.78687173913,161.875425
0,11530520.0,300.799475,200.9066304347826,99.89277934782609
0,11530510.0,554.4948858695652,282.94856413043476,271.54619782608694
0,11500641.0,255.1375989130435,75.94436086956522,179.19328043478262
0,11500640.0,511.87407500000006,381.4022869565217,130.47173913043477
0,11500630.0,398.172622826087,234.1033706521739,164.06919673913043
