Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
1,ElasticNet,MinMax,의료_건강,0.04,0.04,1.0757941020261195e+17,9.295882688152893e+16,41.89,40.27,108.55,40.27,73.89999999999999,209359926.82,199607417.46,327993003.28,304891500.18
1,ElasticNet,MinMax,식음료,0.08,0.08,2.1509646540074724e+16,2.411603517815333e+16,44.87,44.42,108.55,40.27,73.89999999999999,107354551.67,107938371.4,146661673.73,155293384.21
1,ElasticNet,MinMax,소매_편의,0.03,0.02,1.52009602734382e+17,1.836379263610248e+17,50.4,50.67,108.55,40.27,73.89999999999999,224814494.21,235836887.08,389884088.84,428529959.7
1,ElasticNet,MinMax,생활서비스,0.03,0.03,2.23463729859604e+16,3.2532328563337692e+16,63.48,67.46,108.55,40.27,73.89999999999999,93708434.72,102239946.29,149487032.84,180367204.79
1,ElasticNet,MinMax,교육_학원,0.05,0.04,1738192492890830.5,1901650616660888.8,72.5,72.44,108.55,40.27,73.89999999999999,28006022.56,28667438.38,41691635.77,43607919.2
1,ElasticNet,MinMax,미용_패션,0.03,0.03,2.2968904003925864e+16,1.4927709056696366e+16,87.53,85.99,108.55,40.27,73.89999999999999,77441058.98,71905996.24,151554953.74,122179004.16
1,ElasticNet,MinMax,취미_레저,0.03,0.02,6.902561287513633e+16,7.1147872473121816e+16,88.02,88.78,108.55,40.27,73.89999999999999,107872374.18,105233254.99,262727259.48,266735585.31
1,ElasticNet,MinMax,부동산_숙박,0.16,0.16,637142377525212.1,613193296133878.4,116.82,106.52,108.55,40.27,73.89999999999999,12992084.25,12832550.39,25241679.37,24762740.08
1,ElasticNet,MinMax,가구_전자기기,0.04,0.04,3.826809315109874e+16,3.3470448835804172e+16,104.84,108.55,108.55,40.27,73.89999999999999,112446943.02,111367415.42,195622322.73,182949306.74
1,ElasticNet,Standard,의료_건강,0.91,0.9,1.0556756207161934e+16,9895586566704610.0,12.51,12.47,38.15,12.47,24.512222222222224,62503639.75,61829308.77,102746076.36,99476562.9
1,ElasticNet,Standard,식음료,0.91,0.89,2064083012356709.5,2777624215396245.5,13.34,14.53,38.15,12.47,24.512222222222224,31924771.4,35303865.6,45432180.36,52703170.83
1,ElasticNet,Standard,소매_편의,0.86,0.83,2.114609896697919e+16,3.2555287289888416e+16,13.99,15.17,38.15,12.47,24.512222222222224,62398826.46,70591568.63,145416983.08,180430837.97
1,ElasticNet,Standard,생활서비스,0.84,0.86,3636721540801271.5,4577915512936659.0,21.76,22.76,38.15,12.47,24.512222222222224,32115398.48,34499001.41,60305236.43,67660294.95
1,ElasticNet,Standard,미용_패션,0.91,0.89,2062652965447613.8,1720464577496663.2,22.98,23.73,38.15,12.47,24.512222222222224,20336157.91,19847647.07,45416439.37,41478483.31
1,ElasticNet,Standard,교육_학원,0.87,0.86,234155146284907.97,286655232651340.25,24.08,24.14,38.15,12.47,24.512222222222224,9300883.53,9554819.92,15302128.82,16930895.8
1,ElasticNet,Standard,취미_레저,0.87,0.87,8990275852810696.0,9186419561687624.0,30.11,31.57,38.15,12.47,24.512222222222224,36898729.54,37419257.11,94817065.2,95845811.39
1,ElasticNet,Standard,부동산_숙박,0.91,0.89,70247414682187.8,77278766820079.38,37.0,38.09,38.15,12.47,24.512222222222224,4115173.17,4589074.41,8381373.08,8790834.25
1,ElasticNet,Standard,가구_전자기기,0.86,0.85,5700407994809038.0,5298805917075118.0,36.71,38.15,38.15,12.47,24.512222222222224,39377698.68,39142779.1,75501046.32,72792897.44
1,ElasticNet,Default,의료_건강,0.94,0.94,7010660636803500.0,5463839312555263.0,9.28,8.81,33.19,8.81,18.843333333333334,46380389.92,43643743.15,83729687.91,73917787.52
1,ElasticNet,Default,식음료,0.95,0.95,1160021551863426.5,1264722148376784.2,9.15,9.36,33.19,8.81,18.843333333333334,21887216.83,22736172.18,34059089.12,35562932.22
1,ElasticNet,Default,소매_편의,0.96,0.94,6941275152037861.0,1.053196143970442e+16,10.15,10.51,33.19,8.81,18.843333333333334,45276872.62,48929940.53,83314315.41,102625345.02
1,ElasticNet,Default,미용_패션,0.94,0.93,1355989331286415.5,1068904616794290.2,16.94,16.35,33.19,8.81,18.843333333333334,14984153.93,13675916.17,36823760.42,32694106.76
