Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
4,ElasticNet,MinMax,의료_건강,0.04,0.04,9.757169003172594e+16,1.031300543921618e+17,41.38,41.66,119.28,41.66,75.00555555555555,201857704.95,204167360.16,312364674.75,321138684.05
4,ElasticNet,MinMax,식음료,0.08,0.08,2.0314603869742716e+16,2.1985421492196692e+16,44.39,44.88,119.28,41.66,75.00555555555555,102787583.69,106700381.1,142529308.81,148274817.46
4,ElasticNet,MinMax,소매_편의,0.03,0.02,1.2664958607587454e+17,2.513190036797125e+17,49.58,52.19,119.28,41.66,75.00555555555555,215953309.26,239581145.78,355878611.43,501317268.48
4,ElasticNet,MinMax,생활서비스,0.04,0.03,2.2504597931022984e+16,2.2683064501166544e+16,63.45,66.09,119.28,41.66,75.00555555555555,92734947.21,95475565.18,150015325.65,150608978.82
4,ElasticNet,MinMax,교육_학원,0.04,0.05,1792095920605105.2,1626788506307293.0,73.99,73.47,119.28,41.66,75.00555555555555,28021931.78,26939581.69,42333153.92,40333466.33
4,ElasticNet,MinMax,미용_패션,0.03,0.03,1.9196582205860748e+16,2.151119253584576e+16,86.91,84.7,119.28,41.66,75.00555555555555,74973640.45,74341969.82,138551731.15,146666944.25
4,ElasticNet,MinMax,취미_레저,0.02,0.02,6.772677094613694e+16,9.269969206062926e+16,88.68,90.11,119.28,41.66,75.00555555555555,106793632.39,111115092.54,260243676.09,304466241.25
4,ElasticNet,MinMax,가구_전자기기,0.04,0.03,3.813274228812159e+16,3.4282986583790384e+16,104.59,102.67,119.28,41.66,75.00555555555555,112225296.02,111877918.15,195276066.86,185156654.17
4,ElasticNet,MinMax,부동산_숙박,0.17,0.17,663335578276048.4,789451649810304.8,111.6,119.28,119.28,41.66,75.00555555555555,13112109.11,13963445.67,25755301.94,28097182.24
4,ElasticNet,Standard,의료_건강,0.88,0.89,1.2358301373029468e+16,1.1808977111602614e+16,13.88,14.05,43.68,14.05,27.025555555555556,67704074.53,68842297.99,111167897.22,108669117.56
4,ElasticNet,Standard,식음료,0.88,0.86,2640546358261698.0,3252154568030438.0,15.5,16.79,43.68,14.05,27.025555555555556,35895035.12,39923635.18,51386246.78,57027664.94
4,ElasticNet,Standard,소매_편의,0.83,0.71,2.165532242751224e+16,7.503296526928536e+16,15.72,18.57,43.68,14.05,27.025555555555556,68477580.85,85216008.59,147157474.93,273921458.21
4,ElasticNet,Standard,생활서비스,0.88,0.86,2862287708454854.5,3272930732016694.0,21.14,22.72,43.68,14.05,27.025555555555556,30898662.15,32819342.23,53500352.41,57209533.58
4,ElasticNet,Standard,미용_패션,0.9,0.87,2048697322486596.8,2867977848448959.0,24.11,25.0,43.68,14.05,27.025555555555556,20800157.33,21944141.65,45262537.74,53553504.54
4,ElasticNet,Standard,교육_학원,0.82,0.81,336026191313722.7,328748912440230.6,28.68,30.07,43.68,14.05,27.025555555555556,10861299.59,11026269.39,18331017.19,18131434.37
4,ElasticNet,Standard,취미_레저,0.87,0.89,8803302562455421.0,1.0044688378339912e+16,31.54,31.91,43.68,14.05,27.025555555555556,37985824.46,39354168.54,93825916.26,100223192.82
4,ElasticNet,Standard,가구_전자기기,0.85,0.79,5850634639036173.0,7599932554765620.0,37.65,40.44,43.68,14.05,27.025555555555556,40397208.51,44063056.3,76489441.36,87177592.05
4,ElasticNet,Standard,부동산_숙박,0.88,0.88,92306939629262.6,112083596483634.66,40.85,43.68,43.68,14.05,27.025555555555556,4800003.57,5112805.16,9607650.06,10586954.07
4,ElasticNet,Default,의료_건강,0.87,0.9,1.3649149118747426e+16,1.08392543050569e+16,13.28,12.57,42.33,12.57,25.36,64764382.01,61618965.93,116829572.96,104111739.52
4,ElasticNet,Default,소매_편의,0.91,0.9,1.2135568217678376e+16,2.5323450863566976e+16,14.53,15.26,42.33,12.57,25.36,63292525.47,70053284.92,110161555.08,159133437.29
4,ElasticNet,Default,식음료,0.87,0.87,2806718478041636.0,3164444022282205.0,15.93,16.3,42.33,12.57,25.36,36893723.87,38748300.82,52978471.84,56253391.21
4,ElasticNet,Default,생활서비스,0.87,0.87,3129538217875913.0,3037216199936985.0,20.31,20.91,42.33,12.57,25.36,29682060.65,30202920.85,55942275.77,55110944.47
4,ElasticNet,Default,미용_패션,0.89,0.88,2259982203045924.0,2700764509505162.5,21.62,21.53,42.33,12.57,25.36,18651330.75,18894446.17,47539270.11,51968880.2
4,ElasticNet,Default,취미_레저,0.86,0.92,9582704943235324.0,7612343116896256.0,30.56,29.34,42.33,12.57,25.36,36795445.97,36176265.88,97891291.46,87248742.78
4,ElasticNet,Default,교육_학원,0.78,0.79,414344113970964.4,363096472552635.4,29.25,29.96,42.33,12.57,25.36,11078269.91,10983940.21,20355444.33,19055090.46
4,ElasticNet,Default,가구_전자기기,0.81,0.74,7463918932716812.0,9329806820726968.0,38.37,40.04,42.33,12.57,25.36,41164749.77,43629235.75,86393975.1,96590925.15
4,ElasticNet,Default,부동산_숙박,0.88,0.87,96023980318235.34,127041066482185.6,43.43,42.33,42.33,12.57,25.36,5102335.0,4955255.84,9799182.64,11271249.55
4,MLPRegressor,MinMax,교육_학원,-0.76,-0.79,3308901863920455.5,3048140344567202.5,99.97,99.96,100.0,99.96,99.98888888888888,37858778.51,36654721.84,57523055.06,55209965.99
4,MLPRegressor,MinMax,미용_패션,-0.38,-0.35,2.722287010763983e+16,2.980070113436635e+16,99.98,99.98,100.0,99.96,99.98888888888888,86252735.06,87759076.37,164993545.65,172628795.79
4,MLPRegressor,MinMax,생활서비스,-0.91,-0.89,4.470858712310338e+16,4.4345518987989896e+16,99.99,99.99,100.0,99.96,99.98888888888888,146137958.46,144444885.02,211444051.99,210583757.65
4,MLPRegressor,MinMax,식음료,-2.44,-2.37,7.558863330534704e+16,8.035092473451562e+16,99.99,99.99,100.0,99.96,99.98888888888888,231514544.1,237750332.55,274933870.79,283462386.81
4,MLPRegressor,MinMax,가구_전자기기,-0.29,-0.33,5.104996820665299e+16,4.735196215669032e+16,99.99,99.99,100.0,99.96,99.98888888888888,107284776.41,108959885.11,225942400.2,217605060.04
4,MLPRegressor,MinMax,취미_레저,-0.21,-0.16,8.396074584753107e+16,1.1006470867776605e+17,99.99,99.99,100.0,99.96,99.98888888888888,120408219.66,123296725.87,289759807.16,331760016.7
4,MLPRegressor,MinMax,의료_건강,-2.35,-2.24,3.392466130856636e+17,3.473997847504063e+17,100.0,100.0,100.0,99.96,99.98888888888888,487834321.8,490118763.43,582448807.27,589406298.53
4,MLPRegressor,MinMax,소매_편의,-1.46,-0.82,3.198928529125458e+17,4.661319015962379e+17,100.0,100.0,100.0,99.96,99.98888888888888,435520838.73,458997942.53,565590711.48,682738530.92
4,MLPRegressor,MinMax,부동산_숙박,-0.17,-0.14,940234439014599.6,1088679533657467.6,100.0,100.0,100.0,99.96,99.98888888888888,11749449.88,11706190.73,30663242.47,32995144.09
4,MLPRegressor,Standard,교육_학원,-0.76,-0.79,3305709085951469.0,3045330182924542.0,99.91,99.91,100.0,99.91,99.97555555555556,37838500.48,36636325.12,57495296.21,55184510.35
4,MLPRegressor,Standard,미용_패션,-0.38,-0.35,2.7213255322900756e+16,2.9791324190301516e+16,99.96,99.96,100.0,99.91,99.97555555555556,86235777.82,87743274.93,164964406.23,172601634.38
4,MLPRegressor,Standard,생활서비스,-0.91,-0.89,4.469713719008434e+16,4.4335286615899544e+16,99.98,99.98,100.0,99.91,99.97555555555556,146117401.07,144427323.01,211416974.7,210559461.0
4,MLPRegressor,Standard,가구_전자기기,-0.29,-0.33,5.1039334674949096e+16,4.734203850039082e+16,99.98,99.98,100.0,99.91,99.97555555555556,107273136.49,108948302.91,225918867.46,217582256.86
4,MLPRegressor,Standard,취미_레저,-0.21,-0.16,8.39499575663853e+16,1.1005282340938021e+17,99.98,99.98,100.0,99.91,99.97555555555556,120394747.43,123284538.43,289741190.66,331742103.76
4,MLPRegressor,Standard,의료_건강,-2.35,-2.24,3.3921923827830835e+17,3.4737286061014394e+17,99.99,99.99,100.0,99.91,99.97555555555556,487813945.63,490099721.93,582425307.04,589383458.04
4,MLPRegressor,Standard,소매_편의,-1.46,-0.82,3.1986449604051424e+17,4.6610074186138746e+17,99.99,99.99,100.0,99.91,99.97555555555556,435498620.79,458976778.29,565565642.56,682715710.86
4,MLPRegressor,Standard,식음료,-2.44,-2.37,7.557513823145006e+16,8.033765721394464e+16,99.98,99.99,100.0,99.91,99.97555555555556,231495932.55,237732790.68,274909327.29,283438983.23
4,MLPRegressor,Standard,부동산_숙박,-0.17,-0.14,940227140701690.5,1088671589559795.2,100.0,100.0,100.0,99.91,99.97555555555556,11749510.1,11706277.69,30663123.47,32995023.71
4,MLPRegressor,Default,의료_건강,0.86,0.89,1.4178255585679226e+16,1.1821056371276524e+16,13.39,12.89,41.52,12.89,25.06222222222222,65305240.55,63180729.5,119072480.39,108724681.52
4,MLPRegressor,Default,소매_편의,0.9,0.91,1.2941451162531602e+16,2.3493688980318076e+16,15.17,15.56,41.52,12.89,25.06222222222222,66077919.2,71442292.56,113760499.13,153276511.51
4,MLPRegressor,Default,식음료,0.87,0.86,2927841314932186.0,3273555182569613.0,16.05,16.32,41.52,12.89,25.06222222222222,37152765.26,38804392.16,54109530.72,57214990.89
4,MLPRegressor,Default,생활서비스,0.86,0.87,3190230123692352.0,3044575383122042.0,19.99,20.43,41.52,12.89,25.06222222222222,29211608.0,29514032.68,56482122.16,55177671.06
4,MLPRegressor,Default,미용_패션,0.88,0.87,2375703905816221.5,2791769075962797.0,20.48,21.15,41.52,12.89,25.06222222222222,17668579.76,18567941.1,48741193.11,52837194.06
4,MLPRegressor,Default,취미_레저,0.86,0.92,9658317882594306.0,7572557089546104.0,29.77,28.51,41.52,12.89,25.06222222222222,35852383.03,35157503.78,98276741.31,87020440.64
4,MLPRegressor,Default,교육_학원,0.77,0.78,430229223844064.56,373185637033628.94,30.18,30.2,41.52,12.89,25.06222222222222,11429387.31,11074712.69,20741967.69,19318013.28
4,MLPRegressor,Default,가구_전자기기,0.81,0.74,7521275716253059.0,9327081157966380.0,37.77,38.98,41.52,12.89,25.06222222222222,40520632.77,42481024.6,86725288.79,96576814.81
4,MLPRegressor,Default,부동산_숙박,0.87,0.86,103123697459485.81,136787222163964.81,42.38,41.52,41.52,12.89,25.06222222222222,4979023.04,4860128.17,10154983.87,11695606.96
4,SVR,Standard,의료_건강,-0.02,-0.02,1.0367737957432165e+17,1.0982613774893157e+17,41.38,41.41,96.65,41.41,67.58777777777777,201879020.59,202957227.26,321989719.67,331400268.18
4,SVR,Standard,식음료,-0.04,-0.06,2.293902544431406e+16,2.5198216543957948e+16,44.88,45.82,96.65,41.41,67.58777777777777,103913229.76,108937893.16,151456348.31,158739461.21
4,SVR,Standard,소매_편의,-0.04,-0.03,1.3477412647070267e+17,2.6373410708761408e+17,48.72,51.5,96.65,41.41,67.58777777777777,212181131.97,236405954.08,367115957.8,513550491.27
4,SVR,Standard,생활서비스,-0.05,-0.04,2.4508503170415896e+16,2.452511694141074e+16,61.86,63.77,96.65,41.41,67.58777777777777,90409894.22,92119324.5,156551918.45,156604971.0
4,SVR,Standard,교육_학원,-0.1,-0.09,2065253187615369.5,1862496566575163.0,69.98,68.83,96.65,41.41,67.58777777777777,26503053.39,25239093.31,45445056.8,43156651.48
4,SVR,Standard,미용_패션,-0.09,-0.09,2.1623096550894004e+16,2.40702548742914e+16,74.84,73.72,96.65,41.41,67.58777777777777,64560833.09,64706762.89,147047939.63,155145914.78
4,SVR,Standard,취미_레저,-0.05,-0.04,7.312427938569317e+16,9.888213809840957e+16,77.5,78.73,96.65,41.41,67.58777777777777,93322661.81,97080714.62,270415013.24,314455303.82
4,SVR,Standard,가구_전자기기,-0.13,-0.15,4.463053595451749e+16,4.0812094232457304e+16,87.52,87.86,96.65,41.41,67.58777777777777,93909543.38,95743212.46,211259404.42,202020034.24
4,SVR,Standard,부동산_숙박,-0.11,-0.09,890338752250610.4,1038987977897309.2,93.47,96.65,96.65,41.41,67.58777777777777,10982097.92,11314593.03,29838544.74,32233336.44
4,SVR,MinMax,의료_건강,-0.02,-0.02,1.0367737689266746e+17,1.0982613460758509e+17,41.38,41.41,96.65,41.41,67.58777777777777,201879014.65,202957222.09,321989715.51,331400263.44
4,SVR,MinMax,식음료,-0.04,-0.06,2.2939020063913188e+16,2.519821029870193e+16,44.88,45.82,96.65,41.41,67.58777777777777,103913218.04,108937878.79,151456330.55,158739441.53
4,SVR,MinMax,소매_편의,-0.04,-0.03,1.3477412890280493e+17,2.6373411206760336e+17,48.72,51.5,96.65,41.41,67.58777777777777,212181127.36,236405949.79,367115961.11,513550496.12
4,SVR,MinMax,생활서비스,-0.05,-0.04,2.450850026923792e+16,2.4525114363968788e+16,61.86,63.77,96.65,41.41,67.58777777777777,90409888.54,92119320.56,156551909.18,156604962.77
4,SVR,MinMax,교육_학원,-0.1,-0.09,2065251872281896.2,1862495275521766.5,69.98,68.83,96.65,41.41,67.58777777777777,26503045.6,25239084.59,45445042.33,43156636.52
