Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
2,ElasticNet,MinMax,의료_건강,0.04,0.04,1.0251579404920654e+17,1.0338743864864186e+17,41.33,41.95,114.17,41.95,74.51555555555555,204852867.94,208912135.52,320180877.08,321539171.25
2,ElasticNet,MinMax,식음료,0.08,0.08,2.2104806591444e+16,2.048199528909284e+16,44.89,44.41,114.17,41.95,74.51555555555555,107412664.64,104947435.81,148676852.91,143115321.64
2,ElasticNet,MinMax,소매_편의,0.03,0.02,1.5055593406471798e+17,1.8108215290957552e+17,50.72,49.02,114.17,41.95,74.51555555555555,226153265.26,224294329.71,388015378.64,425537487.08
2,ElasticNet,MinMax,생활서비스,0.03,0.03,2.292054491629254e+16,2.687796618352656e+16,63.59,66.51,114.17,41.95,74.51555555555555,93887559.15,99223350.94,151395326.6,163945009.63
2,ElasticNet,MinMax,교육_학원,0.05,0.04,1720943122531563.0,2005464077959997.8,72.7,74.36,114.17,41.95,74.51555555555555,28022219.6,28632092.65,41484251.5,44782408.13
2,ElasticNet,MinMax,미용_패션,0.03,0.03,2.119025594651561e+16,2.156617035115671e+16,87.01,86.32,114.17,41.95,74.51555555555555,76413033.44,74472840.88,145568732.72,146854248.67
2,ElasticNet,MinMax,취미_레저,0.02,0.03,6.932471972507859e+16,7.881461825458818e+16,88.06,90.69,114.17,41.95,74.51555555555555,107734867.2,108712196.64,263295878.67,280739413.43
2,ElasticNet,MinMax,가구_전자기기,0.04,0.03,3.766667999940245e+16,3.618771742521882e+16,105.04,103.21,114.17,41.95,74.51555555555555,112100370.17,111385383.92,194079056.06,190230695.28
2,ElasticNet,MinMax,부동산_숙박,0.17,0.17,655618953731435.6,615806555664168.2,114.56,114.17,114.17,41.95,74.51555555555555,13071029.21,12609149.11,25605057.19,24815449.94
2,ElasticNet,Standard,의료_건강,0.89,0.89,1.1268955115836466e+16,1.1378351048169876e+16,12.86,13.4,44.39,13.4,26.401111111111113,63730492.89,66753732.69,106155334.84,106669353.84
2,ElasticNet,Standard,식음료,0.91,0.89,2212942796442234.2,2386763397315142.0,13.74,14.36,44.39,13.4,26.401111111111113,32887633.85,33930589.66,47041925.94,48854512.56
2,ElasticNet,Standard,소매_편의,0.85,0.79,2.3433248554401204e+16,3.849291011835417e+16,14.95,15.9,44.39,13.4,26.401111111111113,66647708.3,72735778.19,153079223.13,196196101.18
2,ElasticNet,Standard,생활서비스,0.83,0.85,4047251788460375.5,4196971773337899.0,22.65,24.53,44.39,13.4,26.401111111111113,33446627.5,36598097.98,63618014.65,64784039.5
2,ElasticNet,Standard,미용_패션,0.9,0.86,2125741427236976.8,3122833144056851.0,23.23,24.76,44.39,13.4,26.401111111111113,20396963.54,21359939.52,46105763.49,55882315.13
2,ElasticNet,Standard,교육_학원,0.85,0.82,275594210414543.62,380444793661362.4,26.12,27.87,44.39,13.4,26.401111111111113,10066496.88,10729647.34,16601030.4,19504994.07
2,ElasticNet,Standard,취미_레저,0.86,0.91,1.0003332761442606e+16,7587166256585103.0,32.1,31.93,44.39,13.4,26.401111111111113,39268187.67,38278561.84,100016662.42,87104341.2
2,ElasticNet,Standard,가구_전자기기,0.86,0.8,5507599830338566.0,7472421713390542.0,36.93,40.47,44.39,13.4,26.401111111111113,39413323.54,43681431.72,74213205.23,86443170.43
2,ElasticNet,Standard,부동산_숙박,0.9,0.89,77681843547978.55,84431974638906.52,38.88,44.39,44.39,13.4,26.401111111111113,4435737.76,4902365.53,8813730.4,9188687.32
2,ElasticNet,Default,의료_건강,0.92,0.91,8690150062260340.0,9138968714664996.0,10.52,10.86,45.1,10.86,23.203333333333333,52154204.88,54112405.22,93220974.37,95597953.51
2,ElasticNet,Default,식음료,0.94,0.93,1555336973391179.8,1632468574187177.5,10.77,11.04,45.1,10.86,23.203333333333333,25765855.48,26099114.75,39437760.76,40403818.81
2,ElasticNet,Default,소매_편의,0.93,0.93,1.059607745617923e+16,1.293852811732995e+16,12.29,12.76,45.1,10.86,23.203333333333333,54817665.47,58363683.93,102937250.09,113747651.04
2,ElasticNet,Default,미용_패션,0.93,0.89,1579757242476755.2,2430808659335637.0,17.22,18.03,45.1,10.86,23.203333333333333,15125576.9,15552648.99,39746160.1,49303231.73
2,ElasticNet,Default,생활서비스,0.8,0.81,4771823536014978.0,5177702868780198.0,21.2,21.58,45.1,10.86,23.203333333333333,31304810.42,32198876.78,69078386.89,71956256.63
2,ElasticNet,Default,교육_학원,0.86,0.83,249784309706549.56,348418659671486.2,22.6,23.55,45.1,10.86,23.203333333333333,8710107.98,9068285.08,15804566.1,18665975.99
2,ElasticNet,Default,취미_레저,0.84,0.9,1.1245074510669306e+16,7884731355570988.0,29.95,28.42,45.1,10.86,23.203333333333333,36641498.08,34072442.96,106042795.66,88796009.8
2,ElasticNet,Default,가구_전자기기,0.85,0.78,5861963984056646.0,8167163832533937.0,34.37,37.49,45.1,10.86,23.203333333333333,36677973.82,40461036.38,76563463.77,90372362.11
2,ElasticNet,Default,부동산_숙박,0.91,0.86,72081971998158.48,107780847435540.19,37.09,45.1,45.1,10.86,23.203333333333333,4231163.0,4980452.23,8490110.25,10381755.51
2,MLPRegressor,MinMax,교육_학원,-0.82,-0.71,3286363409152280.5,3579606329026454.0,99.96,99.96,100.0,99.96,99.98888888888888,38526265.66,38489209.96,57326812.31,59829811.37
2,MLPRegressor,MinMax,미용_패션,-0.35,-0.34,2.956748021167408e+16,2.9585418382448068e+16,99.98,99.98,100.0,99.96,99.98888888888888,87800951.84,86262555.39,171951970.65,172004123.16
2,MLPRegressor,MinMax,생활서비스,-0.92,-0.8,4.550365287275001e+16,5.000093224146348e+16,99.99,99.99,100.0,99.96,99.98888888888888,147625038.27,149161007.16,213315852.37,223608882.3
2,MLPRegressor,MinMax,식음료,-2.38,-2.51,8.133598903532994e+16,7.812545293057314e+16,99.99,99.99,100.0,99.96,99.98888888888888,239280489.97,236305721.14,285194651.13,279509307.41
2,MLPRegressor,MinMax,가구_전자기기,-0.29,-0.31,5.045896619689118e+16,4.9073266503556984e+16,99.99,99.99,100.0,99.96,99.98888888888888,106709298.24,107910326.07,224630732.98,221524866.56
2,MLPRegressor,MinMax,취미_레저,-0.21,-0.18,8.601518389330704e+16,9.520745111156237e+16,99.99,99.99,100.0,99.96,99.98888888888888,122332266.78,119856440.88,293283453.15,308557046.77
2,MLPRegressor,MinMax,의료_건강,-2.3,-2.31,3.52365140266568e+17,3.553468161972746e+17,100.0,100.0,100.0,99.96,99.98888888888888,495677039.41,498025918.06,593603521.1,596109735.03
2,MLPRegressor,MinMax,소매_편의,-1.28,-1.13,3.535484177181787e+17,3.9460718078136326e+17,100.0,100.0,100.0,99.96,99.98888888888888,445844599.45,457553398.87,594599375.81,628177666.57
2,MLPRegressor,MinMax,부동산_숙박,-0.16,-0.16,919558943226997.9,865727765112156.8,100.0,100.0,100.0,99.96,99.98888888888888,11409083.65,11043649.83,30324230.3,29423252.12
2,MLPRegressor,Standard,교육_학원,-0.82,-0.7,3282517392721282.5,3575776713396057.5,99.9,99.9,100.0,99.9,99.97111111111111,38502265.99,38466589.06,57293257.83,59797798.57
2,MLPRegressor,Standard,미용_패션,-0.35,-0.34,2.955520453709025e+16,2.957463749834939e+16,99.96,99.96,100.0,99.9,99.97111111111111,87778500.46,86242808.8,171916271.88,171972781.27
2,MLPRegressor,Standard,생활서비스,-0.92,-0.8,4.549109403815169e+16,4.998828615504881e+16,99.97,99.97,100.0,99.9,99.97111111111111,147602897.79,149141350.56,213286413.16,223580603.26
2,MLPRegressor,Standard,취미_레저,-0.21,-0.18,8.600080664397773e+16,9.519284784730992e+16,99.97,99.97,100.0,99.9,99.97111111111111,122312868.38,119839090.5,293258941.29,308533382.06
2,MLPRegressor,Standard,식음료,-2.38,-2.51,8.132093739559152e+16,7.811199258076133e+16,99.98,99.98,100.0,99.9,99.97111111111111,239262004.63,236289034.76,285168261.55,279485227.84
2,MLPRegressor,Standard,가구_전자기기,-0.29,-0.31,5.044704609053717e+16,4.906207792074229e+16,99.97,99.98,100.0,99.9,99.97111111111111,106696709.02,107899337.02,224604198.74,221499611.56
2,MLPRegressor,Standard,의료_건강,-2.3,-2.31,3.523314280844612e+17,3.5531633487576275e+17,99.99,99.99,100.0,99.9,99.97111111111111,495653048.61,498004575.58,593575124.21,596084167.61
2,MLPRegressor,Standard,소매_편의,-1.28,-1.13,3.535230450899279e+17,3.945820202819292e+17,99.99,99.99,100.0,99.9,99.97111111111111,445826968.32,457536785.33,594578039.53,628157639.67
2,MLPRegressor,Standard,부동산_숙박,-0.16,-0.16,919547645883509.6,865717023236347.4,100.0,100.0,100.0,99.9,99.97111111111111,11409110.69,11043665.79,30324044.02,29423069.58
2,MLPRegressor,Default,의료_건강,0.92,0.92,9048618909795756.0,9056764756413936.0,10.49,10.77,42.65,10.77,22.63222222222222,52003382.61,53661363.94,95124228.83,95167036.08
2,MLPRegressor,Default,식음료,0.93,0.92,1660777030204234.2,1729769557067000.8,11.09,11.42,42.65,10.77,22.63222222222222,26546600.27,26991753.1,40752632.19,41590498.4
2,MLPRegressor,Default,소매_편의,0.93,0.93,1.1015007458086276e+16,1.3223997079452254e+16,12.79,13.23,42.65,10.77,22.63222222222222,57024303.99,60534885.21,104952405.68,114995639.39
2,MLPRegressor,Default,미용_패션,0.93,0.89,1616491729390871.8,2436481810400078.5,16.89,17.58,42.65,10.77,22.63222222222222,14830051.63,15164637.17,40205618.13,49360731.46
